
Statistical table extracted on December 19, 2025 (10:04:22)
http://www.ine.pt



Data reference period (1) ;Place of residence (NUTS - 2013) (2) ;Resident population (No.) by Place of residence (NUTS - 2013), Sex and Age group (By life cycles) -  Annual;
;;Sex;
;;MF;
;;Age group (By life cycles);
;;Total;
;;No. ;
;16I: Médio Tejo;234765;
;16I1401: Abrantes;33811;
;16I1402: Alcanena;12750;
;16I1408: Constância;3958;
;16I1410: Entroncamento;21985;
;16I1411: Ferreira do Zêzere;8018;
;16I1413: Mação;6403;
;16I1421: Ourém;46512;
;16I1417: Sardoal;3625;
;16I0509: Sertã;14900;
;16I1418: Tomar;36859;
;16I1419: Torres Novas;34719;
;16I0510: Vila de Rei;3442;
;16I1420: Vila Nova da Barquinha;7783;
;16J: Beiras e Serra da Estrela;209896;
;16J0902: Almeida;5676;
;16J0501: Belmonte;6216;
;16J0903: Celorico da Beira;6605;
;16J0503: Covilhã;46375;
;16J0904: Figueira de Castelo Rodrigo;5044;
;16J0905: Fornos de Algodres;4383;
;16J0504: Fundão;26981;
;16J0906: Gouveia;12222;
;16J0907: Guarda;40011;
;16J0908: Manteigas;2938;
;16J0909: Mêda;4572;
;16J0910: Pinhel;7849;
;16J0911: Sabugal;11270;
;16J0912: Seia;21441;
;16J0913: Trancoso;8313;
;17: Área Metropolitana de Lisboa;2961177;
;170: Área Metropolitana de Lisboa;2961177;
;1701502: Alcochete;20101;
;1701503: Almada;181232;
;1701115: Amadora;178253;
;1701504: Barreiro;79966;
;1701105: Cascais;219636;
;1701106: Lisboa;567131;
;1701107: Loures;207065;
;1701109: Mafra;90128;
;1701506: Moita;68950;
;1701507: Montijo;59197;
;1701116: Odivelas;153708;
;1701110: Oeiras;175677;
;1701508: Palmela;72938;
;1701510: Seixal;173163;
;1701511: Sesimbra;55504;
;1701512: Setúbal;123548;
;1701111: Sintra;395528;
;1701114: Vila Franca de Xira;139452;
;18: Alentejo;722465;
;181: Alentejo Litoral;101388;
;1811501: Alcácer do Sal;11082;
;1811505: Grândola;14165;
;1810211: Odemira;33124;
;1811509: Santiago do Cacém;28246;
;1811513: Sines;14771;
;184: Baixo Alentejo;115757;
;1840201: Aljustrel;8922;
;1840202: Almodôvar;6694;
;1840203: Alvito;2279;
;1840204: Barrancos;1430;
;1840205: Beja;33838;
;1840206: Castro Verde;6965;
;1840207: Cuba;4471;
;1840208: Ferreira do Alentejo;7912;
;1840209: Mértola;6137;
;1840210: Moura;13320;
;1840212: Ourique;4829;
;1840213: Serpa;13731;
;1840214: Vidigueira;5229;
;185: Lezíria do Tejo;247764;
;1851403: Almeirim;22820;
;1851404: Alpiarça;7331;
;1851103: Azambuja;22932;
;1851405: Benavente;32323;
;1851406: Cartaxo;24359;
;1851407: Chamusca;8531;
;1851409: Coruche;17365;
