
Quadro extraído em 19 de Dezembro de 2025 (11:14:13)
http://www.ine.pt



Local de residência (NUTS - 2013) (1) ;Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013) -  Anual;
;Período de referência dos dados (2) ;
;2023;
;N.º ;
16I1411: Ferreira do Zêzere;293,3;
16I1413: Mação;496;
16I1421: Ourém;222,3;
16I1417: Sardoal;345,4;
16I0509: Sertã;310,3;
16I1418: Tomar;298;
16I1419: Torres Novas;242,2;
16I0510: Vila de Rei;372,8;
16I1420: Vila Nova da Barquinha;200,9;
16J: Beiras e Serra da Estrela;345,2;
16J0902: Almeida;713;
16J0501: Belmonte;318,3;
16J0903: Celorico da Beira;390,5;
16J0503: Covilhã;296,2;
16J0904: Figueira de Castelo Rodrigo;380,3;
16J0905: Fornos de Algodres;386,6;
16J0504: Fundão;318,2;
16J0906: Gouveia;435,5;
16J0907: Guarda;241,6;
16J0908: Manteigas;446,8;
16J0909: Mêda;493,9;
16J0910: Pinhel;501,5;
16J0911: Sabugal;565;
16J0912: Seia;374,1;
16J0913: Trancoso;434,2;
17: Área Metropolitana de Lisboa;152,9;
170: Área Metropolitana de Lisboa;152,9;
1701502: Alcochete;118,7;
1701503: Almada;176,1;
1701115: Amadora;153,3;
1701504: Barreiro;191,1;
1701105: Cascais;166,6;
1701106: Lisboa;169,5;
1701107: Loures;149,1;
1701109: Mafra;117,3;
1701506: Moita;149;
1701507: Montijo;115,3;
1701116: Odivelas;136,7;
1701110: Oeiras;176,8;
1701508: Palmela;152;
1701510: Seixal;151,3;
1701511: Sesimbra;140,9;
1701512: Setúbal;174,9;
1701111: Sintra;126,9;
1701114: Vila Franca de Xira;130,9;
18: Alentejo;215,9;
181: Alentejo Litoral;220,6;
1811501: Alcácer do Sal;292;
1811505: Grândola;220,4;
1810211: Odemira;209,2;
1811509: Santiago do Cacém;241,7;
1811513: Sines;163,4;
184: Baixo Alentejo;210,6;
1840201: Aljustrel;233,8;
1840202: Almodôvar;293,3;
1840203: Alvito;219,4;
1840204: Barrancos;181,2;
1840205: Beja;162,2;
1840206: Castro Verde;221,2;
1840207: Cuba;191,9;
1840208: Ferreira do Alentejo;225,9;
1840209: Mértola;433,5;
1840210: Moura;178,7;
1840212: Ourique;310,1;
1840213: Serpa;240,8;
1840214: Vidigueira;193;
185: Lezíria do Tejo;199,4;
1851403: Almeirim;196,6;
1851404: Alpiarça;229;
1851103: Azambuja;179,4;
1851405: Benavente;136,7;
1851406: Cartaxo;200,4;
1851407: Chamusca;298,9;
1851409: Coruche;302,4;
1851412: Golegã;246,9;
1851414: Rio Maior;177,2;
1851415: Salvaterra de Magos;210,9;
1851416: Santarém;205,9;
186: Alto Alentejo;252,5;
1861201: Alter do Chão;266,1;
1861202: Arronches;255,6;
1861203: Avis;290,8;
1861204: Campo Maior;171,2;
1861205: Castelo de Vide;360,7;
1861206: Crato;398,3;
1861207: Elvas;182,4;
1861208: Fronteira;323,5;
1861209: Gavião;559,2;
1861210: Marvão;343,6;
1861211: Monforte;209,8;
1861212: Nisa;488,3;
1861213: Ponte de Sor;257,9;
1861214: Portalegre;234,2;
1861215: Sousel;275,5;
187: Alentejo Central;220,9;
1870701: Alandroal;318,8;
1870702: Arraiolos;232,5;
1870703: Borba;242;
1870704: Estremoz;239;
1870705: Évora;184,1;
1870706: Montemor-o-Novo;255,3;
1870707: Mora;419,6;
1870708: Mourão;183,1;
1870709: Portel;241,3;
1870710: Redondo;234,2;
1870711: Reguengos de Monsaraz;208,1;
1870712: Vendas Novas;238,4;
1870713: Viana do Alentejo;194,8;
1870714: Vila Viçosa;249,6;
15: Algarve;175,6;
150: Algarve;175,6;
1500801: Albufeira;130,8;
1500802: Alcoutim;714,7;
1500803: Aljezur;191,4;
1500804: Castro Marim;272,4;
1500805: Faro;163,1;
1500806: Lagoa;175,4;
1500807: Lagos;204,3;
1500808: Loulé;170,1;
1500809: Monchique;339,2;
1500810: Olhão;163,9;
1500811: Portimão;150,8;
1500812: São Brás de Alportel;191,3;
1500813: Silves;179,9;
1500814: Tavira;259,2;
1500815: Vila do Bispo;199,8;
1500816: Vila Real de Santo António;203,2;
2: Região Autónoma dos Açores;122,3;
20: Região Autónoma dos Açores;122,3;
200: Região Autónoma dos Açores;122,3;
2004301: Angra do Heroísmo;155,9;
2004501: Calheta;200,2;
2004901: Corvo;144,6;
2004701: Horta;160,3;
2004201: Lagoa;84,1;
2004801: Lajes das Flores;205,9;
2004601: Lajes do Pico;203,4;
2004602: Madalena;140,6;
2004202: Nordeste;164,6;
2004203: Ponta Delgada;113,9;
2004204: Povoação;138,5;
2004205: Ribeira Grande;65,5;
2004401: Santa Cruz da Graciosa;147,5;
2004802: Santa Cruz das Flores;154,5;
2004603: São Roque do Pico;172,5;
2004502: Velas;171,6;
2004302: Vila da Praia da Vitória;147,4;
2004101: Vila do Porto;131,6;
2004206: Vila Franca do Campo;115,7;
3: Região Autónoma da Madeira;171,5;
30: Região Autónoma da Madeira;171,5;
300: Região Autónoma da Madeira;171,5;
3003101: Calheta;228,8;
3003102: Câmara de Lobos;113,3;
3003103: Funchal;197,5;
3003104: Machico;207,7;
3003105: Ponta do Sol;186,2;
3003106: Porto Moniz;338,9;
3003201: Porto Santo;167,6;
3003107: Ribeira Brava;176,1;
3003108: Santa Cruz;109,1;
3003109: Santana;301,9;
3003110: São Vicente;276,5;

Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013) -  Anual - INE, Estimativas anuais da população residente

Nota(s):
(1) Estimativas de População Residente segundo a divisão administrativa correspondente à versão da Carta Administrativa Oficial de Portugal em vigor à data dos Censos 2021 (CAOP 2020) e à versão das NUTS (NUTS 2013) em vigor a partir de 1 de janeiro de 2015.

(2) 2011-2020, Estimativas Definitivas de População Residente - estimativas intercensitárias revistas (revisão regular geral) tendo por referência os resultados dos Censos 2011 e 2021. A partir de 2021, Estimativas Provisórias de População Residente - estimativas pós-censitárias assentes nos resultados dos Censos 2021. <BR>2022, Estimativas Provisórias de População Residente revistas em junho de 2024, que incluem na população residente as pessoas deslocadas da Ucrânia beneficiárias do regime de Proteção Temporária em Portugal.



Última atualização destes dados: 18 de junho de 2024


Metainformação associada ao quadro

Índice de envelhecimento (N.º)
Designação;Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013) -  Anual
Periodicidade;Anual
Fonte;INE, Estimativas anuais da população residente
Primeiro período disponível;2011
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
