
Statistical table extracted on December 19, 2025 (10:20:33)
http://www.ine.pt



Place of residence (NUTS - 2013) (1) ;Population change (No.) by Place of residence (NUTS - 2013) -  Annual (3) ;
;Data reference period (2) ;
;2023;
;No. ;
16J0906: Gouveia;107;
16J0907: Guarda;118;
16J0908: Manteigas;6;
16J0909: Mêda;-4;
16J0910: Pinhel;-48;
16J0911: Sabugal;61;
16J0912: Seia;1;
16J0913: Trancoso;24;
17: Área Metropolitana de Lisboa;39613;
170: Área Metropolitana de Lisboa;39613;
1701502: Alcochete;278;
1701503: Almada;1861;
1701115: Amadora;3146;
1701504: Barreiro;960;
1701105: Cascais;2410;
1701106: Lisboa;9612;
1701107: Loures;2646;
1701109: Mafra;779;
1701506: Moita;1101;
1701507: Montijo;1154;
1701116: Odivelas;2566;
1701110: Oeiras;1827;
1701508: Palmela;1285;
1701510: Seixal;2960;
1701511: Sesimbra;892;
1701512: Setúbal;286;
1701111: Sintra;4862;
1701114: Vila Franca de Xira;988;
18: Alentejo;5471;
181: Alentejo Litoral;1625;
1811501: Alcácer do Sal;26;
1811505: Grândola;162;
1810211: Odemira;1191;
1811509: Santiago do Cacém;120;
1811513: Sines;126;
184: Baixo Alentejo;244;
1840201: Aljustrel;15;
1840202: Almodôvar;5;
1840203: Alvito;16;
1840204: Barrancos;-27;
1840205: Beja;221;
1840206: Castro Verde;8;
1840207: Cuba;23;
1840208: Ferreira do Alentejo;48;
1840209: Mértola;-42;
1840210: Moura;-7;
1840212: Ourique;10;
1840213: Serpa;-14;
1840214: Vidigueira;-12;
185: Lezíria do Tejo;3505;
1851403: Almeirim;230;
1851404: Alpiarça;118;
1851103: Azambuja;569;
1851405: Benavente;728;
1851406: Cartaxo;362;
1851407: Chamusca;-29;
1851409: Coruche;-8;
1851412: Golegã;25;
1851414: Rio Maior;362;
1851415: Salvaterra de Magos;474;
1851416: Santarém;674;
186: Alto Alentejo;-223;
1861201: Alter do Chão;16;
1861202: Arronches;-8;
1861203: Avis;18;
1861204: Campo Maior;-40;
1861205: Castelo de Vide;-13;
1861206: Crato;13;
1861207: Elvas;-40;
1861208: Fronteira;33;
1861209: Gavião;-37;
1861210: Marvão;-13;
1861211: Monforte;27;
1861212: Nisa;-39;
1861213: Ponte de Sor;-9;
1861214: Portalegre;-138;
1861215: Sousel;7;
187: Alentejo Central;320;
1870701: Alandroal;-13;
1870702: Arraiolos;34;
1870703: Borba;-5;
1870704: Estremoz;-77;
1870705: Évora;150;
1870706: Montemor-o-Novo;55;
1870707: Mora;-22;
1870708: Mourão;28;
1870709: Portel;1;
1870710: Redondo;26;
1870711: Reguengos de Monsaraz;40;
1870712: Vendas Novas;86;
1870713: Viana do Alentejo;39;
1870714: Vila Viçosa;-22;
15: Algarve;5504;
150: Algarve;5504;
1500801: Albufeira;1011;
1500802: Alcoutim;-45;
1500803: Aljezur;104;
1500804: Castro Marim;109;
1500805: Faro;544;
1500806: Lagoa;412;
1500807: Lagos;406;
1500808: Loulé;820;
1500809: Monchique;-40;
1500810: Olhão;224;
1500811: Portimão;904;
1500812: São Brás de Alportel;107;
1500813: Silves;543;
1500814: Tavira;188;
1500815: Vila do Bispo;58;
1500816: Vila Real de Santo António;159;
2: Região Autónoma dos Açores;900;
20: Região Autónoma dos Açores;900;
200: Região Autónoma dos Açores;900;
2004301: Angra do Heroísmo;-125;
2004501: Calheta;-20;
2004901: Corvo;1;
2004701: Horta;30;
2004201: Lagoa;195;
2004801: Lajes das Flores;7;
2004601: Lajes do Pico;18;
2004602: Madalena;48;
2004202: Nordeste;-2;
2004203: Ponta Delgada;378;
