
Quadro extraído em 19 de Dezembro de 2025 (11:10:41)
http://www.ine.pt



Local de residência (NUTS - 2013) (1) ;Índice de dependência de jovens (N.º) por Local de residência (NUTS - 2013) -  Anual;
;Período de referência dos dados (2) ;
;2023;
;N.º ;
16I1410: Entroncamento;21,9;
16I1411: Ferreira do Zêzere;18,7;
16I1413: Mação;16,1;
16I1421: Ourém;19,7;
16I1417: Sardoal;15;
16I0509: Sertã;17,8;
16I1418: Tomar;17,8;
16I1419: Torres Novas;19,7;
16I0510: Vila de Rei;19,2;
16I1420: Vila Nova da Barquinha;21,6;
16J: Beiras e Serra da Estrela;17,1;
16J0902: Almeida;12,7;
16J0501: Belmonte;17,8;
16J0903: Celorico da Beira;16,9;
16J0503: Covilhã;17,7;
16J0904: Figueira de Castelo Rodrigo;19,1;
16J0905: Fornos de Algodres;16,6;
16J0504: Fundão;18,2;
16J0906: Gouveia;16,8;
16J0907: Guarda;17,4;
16J0908: Manteigas;15,7;
16J0909: Mêda;14,7;
16J0910: Pinhel;14,9;
16J0911: Sabugal;16,3;
16J0912: Seia;17,2;
16J0913: Trancoso;15,7;
17: Área Metropolitana de Lisboa;22,8;
170: Área Metropolitana de Lisboa;22,8;
1701502: Alcochete;23,1;
1701503: Almada;22,5;
1701115: Amadora;23,8;
1701504: Barreiro;22;
1701105: Cascais;22,3;
1701106: Lisboa;21,5;
1701107: Loures;24,4;
1701109: Mafra;23,7;
1701506: Moita;24;
1701507: Montijo;25;
1701116: Odivelas;25,1;
1701110: Oeiras;22,5;
1701508: Palmela;21,7;
1701510: Seixal;23,6;
1701511: Sesimbra;22,9;
1701512: Setúbal;22,3;
1701111: Sintra;22,5;
1701114: Vila Franca de Xira;23,1;
18: Alentejo;20,4;
181: Alentejo Litoral;19,4;
1811501: Alcácer do Sal;19,5;
1811505: Grândola;20,7;
1810211: Odemira;15,8;
1811509: Santiago do Cacém;21,4;
1811513: Sines;22,9;
184: Baixo Alentejo;21,5;
1840201: Aljustrel;20,9;
1840202: Almodôvar;19,3;
1840203: Alvito;21,2;
1840204: Barrancos;19,7;
1840205: Beja;23,1;
1840206: Castro Verde;19,7;
1840207: Cuba;20,2;
1840208: Ferreira do Alentejo;20,6;
1840209: Mértola;15,4;
1840210: Moura;25,7;
1840212: Ourique;19;
1840213: Serpa;19,8;
1840214: Vidigueira;22,3;
