
Quadro extraído em 19 de Dezembro de 2025 (11:59:41)
http://www.ine.pt



Local de residência (NUTS - 2013) (1) ;Taxa de crescimento efetivo (%) por Local de residência (NUTS - 2013) -  Anual;
;Período de referência dos dados (2) ;
;2023;
;% ;
16I1401: Abrantes;-0,14;
16I1402: Alcanena;1,07;
16I1408: Constância;2,07;
16I1410: Entroncamento;2,95;
16I1411: Ferreira do Zêzere;1,52;
16I1413: Mação;0,23;
16I1421: Ourém;1,77;
16I1417: Sardoal;1,5;
16I0509: Sertã;0,23;
16I1418: Tomar;1,1;
16I1419: Torres Novas;0,92;
16I0510: Vila de Rei;1,11;
16I1420: Vila Nova da Barquinha;3,69;
16J: Beiras e Serra da Estrela;0,47;
16J0902: Almeida;-0,37;
16J0501: Belmonte;0,61;
16J0903: Celorico da Beira;1,02;
16J0503: Covilhã;0,64;
16J0904: Figueira de Castelo Rodrigo;-0,42;
16J0905: Fornos de Algodres;0,23;
16J0504: Fundão;1,31;
16J0906: Gouveia;0,88;
16J0907: Guarda;0,3;
16J0908: Manteigas;0,2;
16J0909: Mêda;-0,09;
16J0910: Pinhel;-0,61;
16J0911: Sabugal;0,54;
16J0912: Seia;0;
16J0913: Trancoso;0,29;
17: Área Metropolitana de Lisboa;1,35;
170: Área Metropolitana de Lisboa;1,35;
1701502: Alcochete;1,39;
1701503: Almada;1,03;
1701115: Amadora;1,78;
1701504: Barreiro;1,21;
1701105: Cascais;1,1;
1701106: Lisboa;1,71;
1701107: Loures;1,29;
1701109: Mafra;0,87;
1701506: Moita;1,61;
1701507: Montijo;1,97;
1701116: Odivelas;1,68;
1701110: Oeiras;1,05;
1701508: Palmela;1,78;
1701510: Seixal;1,72;
1701511: Sesimbra;1,62;
1701512: Setúbal;0,23;
1701111: Sintra;1,24;
1701114: Vila Franca de Xira;0,71;
18: Alentejo;0,76;
181: Alentejo Litoral;1,62;
1811501: Alcácer do Sal;0,23;
1811505: Grândola;1,15;
1810211: Odemira;3,66;
1811509: Santiago do Cacém;0,43;
1811513: Sines;0,86;
184: Baixo Alentejo;0,21;
1840201: Aljustrel;0,17;
1840202: Almodôvar;0,07;
1840203: Alvito;0,7;
1840204: Barrancos;-1,87;
1840205: Beja;0,66;
1840206: Castro Verde;0,11;
1840207: Cuba;0,52;
1840208: Ferreira do Alentejo;0,61;
1840209: Mértola;-0,68;
1840210: Moura;-0,05;
1840212: Ourique;0,21;
1840213: Serpa;-0,1;
1840214: Vidigueira;-0,23;
185: Lezíria do Tejo;1,42;
1851403: Almeirim;1,01;
1851404: Alpiarça;1,62;
1851103: Azambuja;2,51;
1851405: Benavente;2,28;
1851406: Cartaxo;1,5;
1851407: Chamusca;-0,34;
1851409: Coruche;-0,05;
1851412: Golegã;0,46;
1851414: Rio Maior;1,64;
