
Quadro extraído em 19 de Dezembro de 2025 (10:34:05)
http://www.ine.pt



Local de residência (NUTS - 2013) (1) ;Índice de dependência total (N.º) por Local de residência (NUTS - 2013) -  Anual;
;Período de referência dos dados (2) ;
;2023;
;N.º ;
16I1410: Entroncamento;54,3;
16I1411: Ferreira do Zêzere;73,4;
16I1413: Mação;95,9;
16I1421: Ourém;63,4;
16I1417: Sardoal;66,8;
16I0509: Sertã;73,1;
16I1418: Tomar;70,7;
16I1419: Torres Novas;67,4;
16I0510: Vila de Rei;90,6;
16I1420: Vila Nova da Barquinha;65;
16J: Beiras e Serra da Estrela;76,3;
16J0902: Almeida;102,9;
16J0501: Belmonte;74,6;
16J0903: Celorico da Beira;82,8;
16J0503: Covilhã;70,1;
16J0904: Figueira de Castelo Rodrigo;91,6;
16J0905: Fornos de Algodres;80,6;
16J0504: Fundão;76,1;
16J0906: Gouveia;90,1;
16J0907: Guarda;59,4;
16J0908: Manteigas;85,7;
16J0909: Mêda;87,4;
16J0910: Pinhel;89,4;
16J0911: Sabugal;108,5;
16J0912: Seia;81,4;
16J0913: Trancoso;84,1;
17: Área Metropolitana de Lisboa;57,7;
170: Área Metropolitana de Lisboa;57,7;
1701502: Alcochete;50,4;
1701503: Almada;62;
1701115: Amadora;60,3;
1701504: Barreiro;64,2;
1701105: Cascais;59,4;
1701106: Lisboa;58;
1701107: Loures;60,9;
1701109: Mafra;51,5;
1701506: Moita;59,7;
1701507: Montijo;53,7;
1701116: Odivelas;59,5;
1701110: Oeiras;62,4;
1701508: Palmela;54,7;
1701510: Seixal;59,4;
1701511: Sesimbra;55,1;
1701512: Setúbal;61,3;
1701111: Sintra;51;
1701114: Vila Franca de Xira;53,3;
18: Alentejo;64,5;
181: Alentejo Litoral;62;
1811501: Alcácer do Sal;76,4;
1811505: Grândola;66,2;
1810211: Odemira;48,9;
1811509: Santiago do Cacém;73,2;
1811513: Sines;60,3;
184: Baixo Alentejo;66,7;
1840201: Aljustrel;69,6;
1840202: Almodôvar;75,8;
1840203: Alvito;67,7;
1840204: Barrancos;55,3;
1840205: Beja;60,6;
1840206: Castro Verde;63,3;
1840207: Cuba;59,1;
1840208: Ferreira do Alentejo;67,1;
1840209: Mértola;82,2;
1840210: Moura;71,5;
1840212: Ourique;77,7;
1840213: Serpa;67,6;
1840214: Vidigueira;65,3;
185: Lezíria do Tejo;61,9;
1851403: Almeirim;62,1;
1851404: Alpiarça;67,6;
1851103: Azambuja;56,3;
1851405: Benavente;52,6;
1851406: Cartaxo;60,3;
1851407: Chamusca;72,5;
1851409: Coruche;78,4;
1851412: Golegã;64,7;
1851414: Rio Maior;59,2;
1851415: Salvaterra de Magos;63,5;
1851416: Santarém;63,8;
186: Alto Alentejo;70,8;
1861201: Alter do Chão;77,1;
1861202: Arronches;71,3;
