
Quadro extraído em 19 de Dezembro de 2025 (10:54:24)
http://www.ine.pt



Local de residência (NUTS - 2013);População estrangeira com estatuto legal de residente (N.º) por Local de residência (NUTS - 2013) e Nacionalidade -  Anual;
;Período de referência dos dados;
;2023;
;Nacionalidade;
;Total;
;N.º ;
16J0503: Covilhã;3329;
16J0904: Figueira de Castelo Rodrigo;48;
16J0905: Fornos de Algodres;85;
16J0504: Fundão;1886;
16J0906: Gouveia;317;
16J0907: Guarda;1589;
16J0908: Manteigas;78;
16J0909: Mêda;59;
16J0910: Pinhel;127;
16J0911: Sabugal;188;
16J0912: Seia;736;
16J0913: Trancoso;163;
17: Área Metropolitana de Lisboa;512179;
170: Área Metropolitana de Lisboa;512179;
1701502: Alcochete;1581;
1701503: Almada;25713;
1701115: Amadora;35858;
1701504: Barreiro;9827;
1701105: Cascais;42824;
1701106: Lisboa;162306;
1701107: Loures;32264;
1701109: Mafra;9203;
1701506: Moita;8263;
1701507: Montijo;9049;
1701116: Odivelas;32250;
1701110: Oeiras;19708;
1701508: Palmela;4998;
1701510: Seixal;21890;
1701511: Sesimbra;4570;
1701512: Setúbal;14935;
1701111: Sintra;63222;
1701114: Vila Franca de Xira;13718;
18: Alentejo;56301;
181: Alentejo Litoral;19370;
1811501: Alcácer do Sal;633;
1811505: Grândola;1312;
1810211: Odemira;13843;
1811509: Santiago do Cacém;1860;
1811513: Sines;1722;
184: Baixo Alentejo;7136;
1840201: Aljustrel;291;
1840202: Almodôvar;369;
1840203: Alvito;104;
1840204: Barrancos;26;
1840205: Beja;2960;
1840206: Castro Verde;324;
1840207: Cuba;299;
1840208: Ferreira do Alentejo;908;
1840209: Mértola;251;
1840210: Moura;230;
1840212: Ourique;477;
1840213: Serpa;666;
1840214: Vidigueira;231;
185: Lezíria do Tejo;18493;
1851403: Almeirim;1461;
1851404: Alpiarça;406;
1851103: Azambuja;1962;
1851405: Benavente;3135;
1851406: Cartaxo;1497;
1851407: Chamusca;175;
1851409: Coruche;442;
1851412: Golegã;217;
1851414: Rio Maior;2608;
1851415: Salvaterra de Magos;800;
1851416: Santarém;5790;
186: Alto Alentejo;3937;
1861201: Alter do Chão;141;
1861202: Arronches;85;
1861203: Avis;69;
1861204: Campo Maior;260;
1861205: Castelo de Vide;154;
1861206: Crato;70;
1861207: Elvas;817;
1861208: Fronteira;112;
1861209: Gavião;25;
1861210: Marvão;259;
1861211: Monforte;58;
1861212: Nisa;137;
1861213: Ponte de Sor;530;
1861214: Portalegre;1057;
1861215: Sousel;163;
187: Alentejo Central;7365;
1870701: Alandroal;189;
1870702: Arraiolos;159;
1870703: Borba;143;
1870704: Estremoz;421;
1870705: Évora;3684;
1870706: Montemor-o-Novo;766;
1870707: Mora;79;
1870708: Mourão;78;
1870709: Portel;182;
1870710: Redondo;169;
1870711: Reguengos de Monsaraz;359;
1870712: Vendas Novas;777;
1870713: Viana do Alentejo;146;
1870714: Vila Viçosa;213;
15: Algarve;125424;
150: Algarve;125424;
1500801: Albufeira;18970;
1500802: Alcoutim;264;
1500803: Aljezur;2501;
1500804: Castro Marim;1170;
1500805: Faro;12235;
1500806: Lagoa;6187;
1500807: Lagos;13758;
1500808: Loulé;22725;
1500809: Monchique;1031;
1500810: Olhão;6044;
1500811: Portimão;15419;
1500812: São Brás de Alportel;1865;
1500813: Silves;8673;
1500814: Tavira;8237;
1500815: Vila do Bispo;2592;
1500816: Vila Real de Santo António;3753;
2: Região Autónoma dos Açores;6237;
20: Região Autónoma dos Açores;6237;
200: Região Autónoma dos Açores;6237;
2004301: Angra do Heroísmo;593;
2004501: Calheta;61;
2004901: Corvo;13;
2004701: Horta;934;
2004201: Lagoa;227;
2004801: Lajes das Flores;134;
2004601: Lajes do Pico;209;
2004602: Madalena;332;
2004202: Nordeste;95;
2004203: Ponta Delgada;2001;
2004204: Povoação;110;
2004205: Ribeira Grande;387;
2004401: Santa Cruz da Graciosa;72;
2004802: Santa Cruz das Flores;57;
2004603: São Roque do Pico;183;
2004502: Velas;136;
2004302: Vila da Praia da Vitória;314;
2004101: Vila do Porto;241;
2004206: Vila Franca do Campo;138;
3: Região Autónoma da Madeira;14060;
30: Região Autónoma da Madeira;14060;
300: Região Autónoma da Madeira;14060;
3003101: Calheta;1324;
3003102: Câmara de Lobos;657;
3003103: Funchal;7402;
3003104: Machico;562;
3003105: Ponta do Sol;600;
3003106: Porto Moniz;116;
3003201: Porto Santo;558;
3003107: Ribeira Brava;550;
3003108: Santa Cruz;1824;
3003109: Santana;227;
3003110: São Vicente;240;

População estrangeira com estatuto legal de residente (N.º) por Local de residência (NUTS - 2013) e Nacionalidade -  Anual - INE, População estrangeira com estatuto legal de residente


Última atualização destes dados: 17 de setembro de 2024


Metainformação associada ao quadro

População estrangeira com estatuto legal de residente (N.º)
Designação;População estrangeira com estatuto legal de residente (N.º) por Local de residência (NUTS - 2013) e Nacionalidade -  Anual
Periodicidade;Anual
