id;name;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
6.38774E+17;Apartment in Praha 5, close to center,max 3 guests;146505095;Olga;Praha 5;50,07133;14,38712;Entire home/apt;1479;2;25;01/04/2024;0,68;2;151;0
6.38963E+17;Lovely modern room in Prague centre;56169761;CitySpot S;Praha 2;50,0749;14,43019;Private room;2265;1;195;05/01/2025;5,26;10;151;14
6.39008E+17;Fairytale Duplex Billiard Home cinema in old town;461865695;Heinrich;Praha 1;50,08469;14,42062;Entire home/apt;7525;1;185;16/06/2025;5,55;9;118;50
6.39071E+17;Josefov apartment;69350850;Ondrej And Alena;Praha 1;50,09008;14,4178;Entire home/apt;2810;1;134;16/06/2025;3,64;3;204;47
6.39133E+17;1BDR apt. w/Netflix and Workspace in SmÌchov;1140084;Prague Days;Praha 5;50,07329;14,40383;Entire home/apt;2423;1;64;07/06/2025;1,75;44;265;23
6.39485E+17;Luxury apartment located in the centre of Prague;78765288;EasyBNB Premium;Praha 1;50,082366;14,431527;Entire home/apt;4983;2;39;11/06/2025;1,08;51;100;14
6.39486E+17;Beautiful one bedroom flat in the Heart of Prague;78765288;EasyBNB Premium;Praha 1;50,082366;14,431527;Entire home/apt;3520;2;17;26/09/2024;0,49;51;59;1
6.39499E+17;Cosy retro apart in hotel style, free parking;461985351;Eva;Praha 5;50,05755;14,37832;Entire home/apt;1460;2;53;21/04/2025;1,45;1;135;11
6.39753E+17;Room For 4 Friends at Wenclas Square Prague 1;357078567;Martin;Praha 1;50,08177;14,42681;Private room;1843;1;14;21/04/2025;0,38;14;78;4
6.39822E+17;Crystalline Studio / AC / Prague 1 / Elevator;8134476;Sarah & Jan;Praha 1;50,08669;14,43276;Entire home/apt;2348;2;218;16/06/2025;5,89;11;165;63
6.39953E+17;Centrally located 2+1 garden facing;29758598;Talib;Praha 7;50,10275;14,4439;Entire home/apt;1722;2;11;01/06/2025;0,3;1;93;3
6.40236E+17;Byt 5 min od K. mostu, hist. centrum Prahy, 4 os.;462161189;Jana;Praha 1;50,08839;14,41464;Entire home/apt;2890;3;158;19/05/2025;4,84;1;317;53
6.40269E+17;Palace Petrarca flat magnificent view city center;411836977;Palace;Praha 1;50,077351;14,428938;Entire home/apt;3499;1;65;16/06/2025;1,75;20;267;3
6.40444E+17;Great for long stays! City center 15 mins by metro;54754046;Jaroslav;Praha 14;50,10804;14,536;Private room;1200;4;25;04/01/2025;0,68;2;82;4
6.41075E+17;Private room in Prague city center Floor 2, apt 2;199610462;Jessica;Praha 2;50,077337;14,421709;Private room;764;2;10;05/08/2024;0,28;73;43;2
6.41156E+17;Private room in Prague city center Floor 2, apt 2;199610462;Jessica;Praha 2;50,077337;14,421709;Private room;900;2;5;28/08/2023;0,14;73;53;0
6.41159E+17;Private room in Prague city center Floor 2, apt 2;199610462;Jessica;Praha 2;50,077337;14,421709;Private room;760;2;7;21/08/2024;0,2;73;47;1
6.41162E+17;Private room in Prague city center Floor 2, apt 2;199610462;Jessica;Praha 2;50,077337;14,421709;Private room;900;2;5;14/08/2023;0,14;73;53;0
6.41164E+17;Private room in Prague city center Floor 2, apt 2;199610462;Jessica;Praha 2;50,077337;14,421709;Private room;766;2;3;31/07/2024;0,08;73;37;1
6.41173E+17;Double room in Prague's city center Floor 3, apt 2;199610462;Jessica;Praha 2;50,077337;14,421709;Private room;1011;2;11;24/08/2024;0,31;73;50;4
6.41175E+17;Double room in Prague's city center Floor 3, apt 2;199610462;Jessica;Praha 2;50,077337;14,421709;Private room;858;2;6;22/08/2024;0,17;73;50;1
6.41647E+17;Palace Petrarca cozy studio city center Prague 1;411836977;Palace;Praha 1;50,0785;14,42977;Entire home/apt;2826;1;64;09/05/2025;1,73;20;235;2
6.41695E+17;Room 404 on the upper floor;295624207;Alnur;Praha 2;50,07685;14,42725;Private room;6225;1;3;20/04/2025;0,11;10;365;2
6.41698E+17;Room 304 in the center of Prague;295624207;Alnur;Praha 2;50,07589;14,42869;Private room;6104;1;3;09/06/2025;1,43;10;364;3
6.41701E+17;Room 305 on the third floor;295624207;Alnur;Praha 2;50,07527;14,4268;Private room;6318;1;3;01/06/2025;1,45;10;365;3
6.41809E+17;Room 612 on the upper floor;295624207;Alnur;Praha 2;50,0749;14,42871;Entire home/apt;6818;1;4;01/06/2025;0,22;10;365;3
6.41941E+17;Apartment - Americk· street;216297052;Vladislav;Praha 2;50,071658;14,438323;Private room;1187;14;44;15/05/2025;1,2;2;159;13
6.42011E+17;Nice large furnished attic room;380471389;Jakub;Praha 2;50,07187;14,4285;Private room;693;30;3;30/08/2024;0,08;92;59;1
6.42017E+17;Private room in the heart of Prague 1L;462552647;Jenifer;Praha 2;50,07711;14,43431;Private room;1024;2;10;11/08/2024;0,28;57;52;4
6.42092E+17;Apartment in the street Americka - Prague 2;216297052;Vladislav;Praha 2;50,071089;14,439029;Private room;1125;14;44;02/06/2025;1,19;2;189;10
6.42093E+17;Prostorn˝ d?m s terasou a zahradou;41850104;Kornelie;Praha 5;50,05668;14,36682;Entire home/apt;5036;2;56;10/06/2025;1,52;1;322;15
6.42475E+17;Nice new attic furnished room in center of Prague;380471389;Jakub;Praha 2;50,07275;14,42833;Private room;693;30;2;31/08/2023;0,06;92;77;0
6.42485E+17;Attic fully  room in shared apartment;380471389;Jakub;Praha 2;50,07181;14,43058;Private room;678;30;2;23/08/2022;0,06;92;58;0
6.42535E+17;Cute apartment with a big terrace;28605266;Eva;Praha 10;50,07362;14,47277;Entire home/apt;;2;14;28/10/2024;0,42;1;0;4
6.42611E+17;New modern apartment with a homely feeling.;117570900;Martina;Praha 1;50,09072;14,43352;Entire home/apt;2258;1;84;07/05/2025;2,28;2;236;14
6.42696E+17;New fully furnished room center of Prague;380471389;Jakub;Praha 2;50,072954;14,429451;Private room;;30;1;01/08/2022;0,03;92;2;0
6.42735E+17;Studio for 2-4 in trendy Karlin district, on metro;3419169;Km;Praha 8;50,09629;14,464153;Entire home/apt;1215;2;70;01/06/2025;1,92;3;221;19
6.42763E+17;45m2 apartment facing tram station;257779276;Oliver;Praha 7;50,09848;14,42847;Entire home/apt;1540;1;2;01/01/2024;0,09;38;75;0
6.42769E+17;Duplex attic apartment for up to 6 people,elevator;838198;Michael;Praha 8;50,09399;14,45802;Entire home/apt;2971;4;82;01/06/2025;2,27;44;51;22
6.43113E+17;4A Short viewing of Prague;236478821;Veronika;Praha 10;50,07023;14,46264;Private room;817;2;104;17/06/2025;2,82;5;42;34
6.4327E+17;4B Short viewing of the capital city;236478821;Veronika;Praha 10;50,07196;14,46216;Private room;801;2;99;13/06/2025;2,73;5;46;31
6.43277E+17;Moody Vröovice Gem: Comfort & Prague Charm;462843474;Katerina;Praha 10;50,070121;14,452418;Entire home/apt;;4;28;28/10/2024;0,77;2;0;8
6.43411E+17;Very nice apartment;340375262;Oleksandr;Praha 3;50,0838;14,46511;Entire home/apt;4342;20;0;NA;0;2;270;0
6.43473E+17;Byt 66m≤ s terasou a rekuperacÌ ve VröovicÌch;44513371;Ludek;Praha 10;50,06581;14,46137;Entire home/apt;1000;12;5;23/09/2024;0,22;1;40;3
6.43539E+17;Luxury peaceful stay in Old Prague;102111959;Jitka;Praha 1;50,09148;14,42042;Private room;3286;7;0;NA;0;1;357;0
6.43857E+17;45m2 apartment facing tram station;434606624;Hassan;Praha 7;50,09905;14,43013;Entire home/apt;;1;0;NA;0;10;364;0
6.43871E+17;Numa | Standard Room in New Town;427490719;Silvina Soledad;Praha 2;50,07648;14,42325;Entire home/apt;1738;1;162;07/06/2025;4,44;6;279;80
6.43893E+17;Numa | Medium Room with Bathtub in New Town;427490719;Silvina Soledad;Praha 2;50,07648;14,42325;Entire home/apt;2038;1;755;13/06/2025;20,7;6;326;297
6.43894E+17;Numa | Medium Studio with Kitchenette;427490719;Silvina Soledad;Praha 2;50,07648;14,42325;Entire home/apt;2200;1;205;23/05/2025;5,62;6;324;48
6.43897E+17;Numa | Medium Studio with Kitchenette and Bathtub;427490719;Silvina Soledad;Praha 2;50,07648;14,42325;Entire home/apt;2286;1;120;31/05/2025;3,3;6;328;28
6.44008E+17;??Charles Bridge Central Resort Apartment;71467963;Viktor;Praha 1;50,08727;14,40496;Entire home/apt;2575;3;202;12/06/2025;5,47;3;302;53
6.44235E+17;Deluxe Apartment AC;178393160;Anton;Praha 2;50,07612;14,41687;Entire home/apt;2404;2;68;23/05/2025;1,96;13;145;27
6.44235E+17;One-Bedroom Apartment with air conditioning;178393160;Anton;Praha 2;50,07382;14,41789;Entire home/apt;2642;2;27;24/03/2025;0,77;13;148;12
6.44685E+17;JT's Apartments SlavÌkova str. (#510);11257014;Jt;Praha 3;50,08098;14,44696;Entire home/apt;1436;3;86;01/06/2025;2,37;16;172;27
6.44732E+17;2 Bob's Apartment: 2 bedrooms, King Size beds;16156940;Hang;Praha 10;50,069043;14,455371;Entire home/apt;2086;1;86;31/05/2025;2,34;5;332;23
6.44781E+17;Spacious apartment with high ceiling in Prague 3;19723492;Lucia;Praha 3;50,08219;14,44774;Entire home/apt;1841;3;20;24/05/2025;0,56;1;30;8
6.44886E+17;Cozy apartment in center of Prague for 2 people;463242037;Aminat;Praha 2;50,07344;14,43204;Entire home/apt;1422;2;28;01/06/2025;0,81;9;91;13
6.44886E+17;Cozy apartment in center of Prague for 3 people;463242037;Aminat;Praha 2;50,07347;14,43005;Entire home/apt;;2;12;13/05/2024;0,34;9;0;0
6.44958E+17;Cute studio near Letna park - close to the centre;123711443;Roman;Praha 7;50,10084;14,42676;Entire home/apt;1996;2;189;17/06/2025;5,15;35;193;68
6.45313E+17;Anenska by Charles Bridge 2;58820991;Luk·ö;Praha 1;50,085467;14,414774;Entire home/apt;5529;2;52;25/02/2025;1,43;3;229;6
6.45424E+17;65 m2 apartment with 2 king size bed.;257779276;Oliver;Praha 7;50,0995;14,42312;Entire home/apt;4446;1;12;14/05/2025;0,33;38;176;3
6.45453E+17;Harmony apartment - 2 bedrooms, balcony, elevator;838198;Michael;Praha 8;50,095077;14,458434;Entire home/apt;3398;4;67;30/05/2025;1,84;44;37;14
6.45518E+17;Numa | Large Studio with Kitchenette;371907604;Silvina Soledad;Praha 2;50,075057;14,425499;Entire home/apt;1978;1;87;12/06/2025;2,38;4;274;57
6.45552E+17;Apartment - 3 rooms - 8 guests;81076775;Oleg;Praha 1;50,08773;14,40421;Entire home/apt;3054;1;16;07/06/2025;1,42;7;169;16
6.45678E+17;Dwellfort | Spacious, Cozy One Bedroom Apartment;212297195;Sophia;Praha 2;50,07157;14,43558;Entire home/apt;2130;1;429;15/06/2025;11,72;63;300;186
6.45691E+17;LUXURY RIVERSIDE APARTMENT IN THE CENTER OF PRAGUE;177398802;Krste;Praha 5;50,0746;14,40807;Entire home/apt;3679;1;134;04/06/2025;3,66;44;305;56
6.45691E+17;Dwellfort | Fabulous Apartment in a Lovely Area;212297195;Sophia;Praha 2;50,07157;14,43558;Entire home/apt;2172;1;409;17/06/2025;11,16;63;297;139
6.45714E+17;LUXURY RIVERSIDE APARTMENT IN THE CENTER OF PRAGUE;177398802;Krste;Praha 5;50,07387;14,41005;Entire home/apt;4664;1;133;01/06/2025;3,64;44;304;28
6.45971E+17;Cosy place close to lovely park and city centre;433417830;Pavel;Praha 7;50,103088;14,433765;Entire home/apt;;3;4;30/12/2024;0,13;5;0;1
6.46051E+17;Three bedroom apartment for four persons near park;109089184;Michal;Praha 3;50,09066;14,48336;Entire home/apt;1762;1;2;14/08/2022;0,05;75;59;0
6.46067E+17;Comfortable Duplex Apartment 102 Sokolska;2420885;Marina & Alex;Praha 2;50,07592;14,429;Entire home/apt;1393;3;76;20/05/2025;2,09;84;145;21
6.46142E+17;Cozy apartment for 1 guest in the centre 505;2420885;Marina & Alex;Praha 2;50,07631;14,43054;Entire home/apt;1152;3;63;17/06/2025;1,73;84;107;30
6.46182E+17;Apartment 01 near Florenc Prague by Michal&Friends;52431987;Michal & Friends;Praha 8;50,090879;14,440424;Entire home/apt;2717;1;148;05/06/2025;4,38;81;332;57
6.46221E+17;Lovely Apartment 204 in the Centre of Prague;2420885;Marina & Alex;Praha 2;50,07741;14,43056;Entire home/apt;1513;3;50;11/05/2025;1,37;84;128;15
6.46409E+17;Cozy apartment - 15 minutes historical center;84103974;Radka Myskova;Praha 4;50,058001;14,452151;Entire home/apt;1145;1;55;02/06/2025;1,51;9;31;31
6.46775E+17;Private room in the heart of Prague 1L;462552647;Jenifer;Praha 2;50,07801;14,43444;Private room;1275;2;6;17/08/2024;0,17;57;52;1
6.46784E+17;Private room in the heart of Prague 1L;462552647;Jenifer;Praha 2;50,07906;14,43456;Private room;1054;2;11;11/08/2024;0,31;57;52;5
6.46813E+17;City centre room in shared apartment 2L;462552647;Jenifer;Praha 2;50,07709;14,4358;Private room;1362;2;6;18/08/2024;0,17;57;52;5
6.46818E+17;Private room in the heart of Prague 2R;462552647;Jenifer;Praha 2;50,07703;14,43524;Private room;1020;2;10;18/08/2024;0,28;57;52;3
6.46823E+17;Private room in the heart of Prague 2R;462552647;Jenifer;Praha 2;50,0786;14,43539;Private room;1022;2;6;04/08/2024;0,17;57;52;3
6.46826E+17;Private room in the heart of Prague 2R;462552647;Jenifer;Praha 2;50,07679;14,43535;Private room;1020;2;10;18/08/2024;0,28;57;52;2
6.46829E+17;City centre room in shared apartment 2L;462552647;Jenifer;Praha 2;50,078629;14,43558;Private room;935;2;0;NA;0;57;52;0
6.46853E+17;City centre room in shared apartment 3L;462552647;Jenifer;Praha 2;50,07915;14,43394;Private room;978;2;10;24/08/2024;0,29;57;52;5
6.46858E+17;City centre room in shared apartment 3L;462552647;Jenifer;Praha 2;50,07823;14,43447;Private room;1224;2;10;25/08/2024;0,28;57;52;2
6.46867E+17;City centre room in shared apartment 3L;462552647;Jenifer;Praha 2;50,07877;14,43589;Private room;1173;2;9;24/08/2024;0,25;57;49;2
6.46872E+17;City centre room in shared apartment 3L;462552647;Jenifer;Praha 2;50,078503;14,436123;Private room;850;2;10;24/08/2024;0,43;57;52;7
6.46914E+17;City centre room in shared apartment 1R;462552647;Jenifer;Praha 2;50,07843;14,43602;Private room;1046;2;3;15/08/2024;0,09;57;52;1
6.46919E+17;City centre room in shared apartment 1R;462552647;Jenifer;Praha 2;50,07865;14,436;Private room;705;2;7;27/07/2024;0,2;57;52;1
6.46923E+17;City centre room in shared apartment 1R;462552647;Jenifer;Praha 2;50,07877;14,43388;Private room;740;2;6;18/08/2024;0,17;57;52;2
6.46927E+17;City centre room in shared apartment 1R;462552647;Jenifer;Praha 2;50,07694;14,43391;Private room;740;2;10;21/08/2024;0,29;57;47;5
6.46931E+17;City centre room in shared apartment 1R;462552647;Jenifer;Praha 2;50,07867;14,43389;Private room;765;2;8;19/08/2024;0,23;57;40;2
6.46961E+17;Private bedroom in the heart of Prague 3R;462552647;Jenifer;Praha 2;50,07999;14,43464;Private room;1020;2;10;19/08/2023;0,28;57;52;0
6.46961E+17;Private bedroom in the heart of Prague 3R;462552647;Jenifer;Praha 2;50,07692;14,43535;Private room;833;2;7;16/08/2023;0,2;57;52;0
6.46971E+17;Private bedroom in the heart of Prague 3R;462552647;Jenifer;Praha 2;50,07693;14,43401;Private room;850;2;6;14/08/2023;0,17;57;52;0
6.46974E+17;Private bedroom in the heart of Prague 3R;462552647;Jenifer;Praha 2;50,0789;14,435615;Private room;544;2;3;25/08/2022;0,09;57;40;0
6.47002E+17;City centre room in shared apartment 4R;462552647;Jenifer;Praha 2;50,07771;14,4358;Private room;1020;2;8;18/08/2024;0,23;57;52;1
6.47007E+17;City centre room in shared apartment 4R;462552647;Jenifer;Praha 2;50,079173;14,435445;Private room;1020;2;11;11/08/2024;0,31;57;52;1
6.4701E+17;City centre room in shared apartment 4R;462552647;Jenifer;Praha 2;50,07775;14,43595;Private room;680;2;7;23/07/2024;0,2;57;18;1
6.4701E+17;City centre room in shared apartment 4R;462552647;Jenifer;Praha 2;50,07844;14,4358;Private room;1020;2;9;25/08/2023;0,25;57;52;0
6.47016E+17;City centre room in shared apartment 4R;462552647;Jenifer;Praha 2;50,07859;14,43414;Private room;1020;2;10;18/08/2024;0,28;57;52;3
6.47049E+17;Private room in the heart of Prague 2R;462552647;Jenifer;Praha 2;50,07855;14,43384;Private room;1020;2;9;16/08/2024;0,25;57;52;1
6.47053E+17;City centre room in shared apartment 2L;462552647;Jenifer;Praha 2;50,07766;14,43381;Private room;1020;2;14;18/08/2024;0,39;57;52;1
6.47057E+17;City centre room in shared apartment 2L;462552647;Jenifer;Praha 2;50,07895;14,43415;Private room;935;2;13;01/09/2024;0,36;57;52;3
6.4706E+17;City centre room in shared apartment 2L;462552647;Jenifer;Praha 2;50,07737;14,43352;Private room;1020;2;10;15/08/2023;0,28;57;52;0
6.47064E+17;Private room in the heart of Prague 2R;462552647;Jenifer;Praha 2;50,07878;14,43364;Private room;1020;2;9;29/08/2024;0,26;57;52;2
6.47904E+17;Entire Cosy Loft;56169761;CitySpot S;Praha 2;50,0728;14,42992;Private room;2189;1;96;13/05/2024;2,62;10;150;0
6.48206E+17;Lovely Apartment in The Center of Prague;51534638;Alex;Praha 1;50,07867;14,42566;Entire home/apt;2086;2;199;12/06/2025;5,49;7;95;55
6.48476E+17;Old Town Apt with balcony & TV + Xbox;411340210;KarolÌna & Igor;Praha 1;50,08972;14,426649;Entire home/apt;2647;1;141;07/06/2025;3,93;1;3;50
6.48514E+17;Art nouveau villa with garden close to center;73975856;Lucia;Praha 6;50,09663;14,36974;Entire home/apt;1819;2;76;19/06/2025;2,08;1;257;27
6.48564E+17;Cozy apartment in the center of Prague;463242037;Aminat;Praha 2;50,07354;14,43181;Entire home/apt;1283;2;29;18/05/2025;0,83;9;80;12
6.4892E+17;Charming, Authentic Zizkov Apartment Full Of Light;11116758;Linda;Praha 3;50,08737;14,44219;Entire home/apt;1764;3;80;01/06/2025;2,19;1;76;27
6.48957E+17;Luxurious, designer 2-BDR home in central Prague!;10680564;Tereza & Friends;Praha 2;50,07273;14,43521;Entire home/apt;3675;1;82;10/06/2025;2,27;66;39;13
6.48991E+17;70m2 two bedrooms with 2 bathrooms apartment;434606624;Hassan;Praha 7;50,10041;14,42886;Entire home/apt;;1;0;NA;0;10;364;0
6.4908E+17;Quiet apartment close to the historical center;658039542;Pavel;Praha 1;50,078008;14,422845;Entire home/apt;1322;2;113;24/05/2025;3,09;1;255;36
6.49135E+17;Heart of Old Town Apartment by National Theater;348584706;Tony;Praha 1;50,082131;14,414506;Entire home/apt;2434;2;179;28/05/2025;5,36;3;274;52
6.49243E+17;Dvoul?ûkov˝ pokoj s v˝hledem do zahrady ?. 26;464257457;Hotel;Praha 1;50,078534;14,42941;Private room;;1;7;13/05/2024;0,2;12;285;0
6.4925E+17;T?Ìl?ûkov˝ pokoj s rozkl·dacÌ pohovkou ?. 22;464257457;Hotel;Praha 1;50,078534;14,42941;Private room;3400;1;7;30/07/2023;0,2;12;276;0
6.49253E+17;Dvoul?ûkov˝ pokoj s rozkl·dacÌ pohovkou ?. 25;464257457;Hotel;Praha 1;50,078534;14,42941;Private room;3116;1;5;02/01/2023;0,14;12;267;0
6.49256E+17;?ty?l?ûkov˝ pokoj s rozkl·dacÌ pohovkou ?.32;464257457;Hotel;Praha 1;50,078575;14,429401;Private room;3684;1;0;NA;0;12;285;0
6.49258E+17;?ty?l?ûkov˝ pokoj s rozkl·dacÌ pohovkou ?. 33;464257457;Hotel;Praha 1;50,078534;14,42941;Private room;;1;3;18/05/2024;0,08;12;271;0
6.49341E+17;Cozy studio apartment in historical center Prague;464286659;Annie;Praha 1;50,08159;14,422549;Entire home/apt;1685;1;251;16/06/2025;6,85;5;86;70
6.49355E+17;Home near Old Town Square;9256671;Richard;Praha 1;50,08595;14,41981;Entire home/apt;1898;2;71;29/05/2025;1,95;3;122;48
6.49395E+17;LUXURY RIVERSIDE APARTMENT IN THE CENTER OF PRAGUE;177398802;Krste;Praha 5;50,07422;14,40975;Entire home/apt;4076;1;146;03/06/2025;3,99;44;306;56
6.497E+17;Rooftop terrace loft apartment, home cinema;162097525;Michelle;Praha 10;50,07106;14,44825;Entire home/apt;2915;2;67;27/04/2025;1,84;2;168;3
6.49746E+17;Cozy studio in the very heart of the Prague;434117814;Natali;Praha 1;50,078178;14,424347;Entire home/apt;2010;2;84;01/06/2025;2,31;6;287;28
6.49779E+17;Charles Bridge Apt ñ City center, Garden View;464369499;Marcela;Praha 1;50,082806;14,406164;Entire home/apt;2084;2;129;16/06/2025;3,57;2;302;36
6.50023E+17;KING-BED Lux AIR-BNB w/AC in KarlÌn!;464430551;Martin;Praha 8;50,096474;14,4517;Entire home/apt;2177;2;66;23/05/2025;1,82;4;108;21
