
Quadro extraído em 11 de Dezembro de 2025 (09:33:44)
http://www.ine.pt



Local de residência (NUTS - 2024);Beneficiárias/os de subsídios de desemprego, da segurança social (N.º) por Local de residência (NUTS - 2024) e Grupo etário -  Anual (1) ;
;Período de referência dos dados;
;2023;
;Grupo etário;
;Total;
;N.º ;
1D21411: Ferreira do Zêzere;100;
1D21413: Mação;107;
1D21421: Ourém;1068;
1D21417: Sardoal;104;
1D21418: Tomar;699;
1D21419: Torres Novas;1055;
1D21420: Vila Nova da Barquinha;167;
1D3: Lezíria do Tejo;8506;
1D31403: Almeirim;904;
1D31404: Alpiarça;279;
1D31103: Azambuja;852;
1D31405: Benavente;1253;
1D31406: Cartaxo;861;
1D31407: Chamusca;256;
1D31409: Coruche;611;
1D31412: Golegã;133;
1D31414: Rio Maior;622;
1D31415: Salvaterra de Magos;1044;
1D31416: Santarém;1691;
1A: Grande Lisboa;60567;
1A0: Grande Lisboa;60567;
1A01115: Amadora;5288;
1A01105: Cascais;5660;
1A01106: Lisboa;14807;
1A01107: Loures;6460;
1A01109: Mafra;2075;
1A01116: Odivelas;4589;
1A01110: Oeiras;4347;
1A01111: Sintra;12499;
1A01114: Vila Franca de Xira;4842;
1B: Península de Setúbal;29741;
1B0: Península de Setúbal;29741;
1B01502: Alcochete;581;
1B01503: Almada;5587;
1B01504: Barreiro;3080;
1B01506: Moita;2841;
1B01507: Montijo;2547;
1B01508: Palmela;2581;
1B01510: Seixal;5326;
1B01511: Sesimbra;1888;
1B01512: Setúbal;5310;
1C: Alentejo;17974;
1C1: Alentejo Litoral;6638;
1C11501: Alcácer do Sal;297;
1C11505: Grândola;265;
1C10211: Odemira;4289;
1C11509: Santiago do Cacém;947;
1C11513: Sines;840;
1C2: Baixo Alentejo;3510;
1C20201: Aljustrel;233;
1C20202: Almodôvar;166;
1C20203: Alvito;56;
1C20204: Barrancos;68;
1C20205: Beja;864;
1C20206: Castro Verde;155;
1C20207: Cuba;108;
1C20208: Ferreira do Alentejo;328;
1C20209: Mértola;189;
1C20210: Moura;464;
1C20212: Ourique;142;
1C20213: Serpa;555;
1C20214: Vidigueira;182;
1C3: Alto Alentejo;3551;
1C31201: Alter do Chão;101;
1C31202: Arronches;53;
1C31203: Avis;125;
1C31204: Campo Maior;335;
1C31205: Castelo de Vide;56;
1C31206: Crato;66;
1C31207: Elvas;843;
1C31208: Fronteira;102;
1C31209: Gavião;70;
1C31210: Marvão;51;
1C31211: Monforte;78;
1C31212: Nisa;135;
1C31213: Ponte de Sor;667;
1C31214: Portalegre;674;
1C31215: Sousel;195;
1C4: Alentejo Central;4275;
1C40701: Alandroal;130;
1C40702: Arraiolos;158;
1C40703: Borba;231;
1C40704: Estremoz;327;
1C40705: Évora;1446;
1C40706: Montemor-o-Novo;323;
1C40707: Mora;86;
1C40708: Mourão;109;
1C40709: Portel;211;
1C40710: Redondo;240;
1C40711: Reguengos de Monsaraz;327;
1C40712: Vendas Novas;368;
1C40713: Viana do Alentejo;119;
1C40714: Vila Viçosa;200;
15: Algarve;27095;
150: Algarve;27095;
1500801: Albufeira;6308;
1500802: Alcoutim;42;
1500803: Aljezur;263;
1500804: Castro Marim;240;
1500805: Faro;2325;
1500806: Lagoa;1443;
1500807: Lagos;1658;
1500808: Loulé;3850;
1500809: Monchique;114;
1500810: Olhão;1494;
1500811: Portimão;4446;
1500812: São Brás de Alportel;243;
1500813: Silves;2342;
1500814: Tavira;1003;
1500815: Vila do Bispo;326;
1500816: Vila Real de Santo António;998;
2: Região Autónoma dos Açores;7789;
20: Região Autónoma dos Açores;7789;
200: Região Autónoma dos Açores;7789;
2004301: Angra do Heroísmo;990;
2004501: Calheta (R.A.A.);73;
2004901: Corvo;8;
2004701: Horta;379;
2004201: Lagoa (R.A.A.);501;
2004801: Lajes das Flores;72;
2004601: Lajes do Pico;170;
2004602: Madalena;173;
2004202: Nordeste;346;
2004203: Ponta Delgada;1761;
2004204: Povoação;481;
2004205: Ribeira Grande;1170;
2004401: Santa Cruz da Graciosa;162;
2004802: Santa Cruz das Flores;79;
2004603: São Roque do Pico;104;
2004502: Velas;162;
2004302: Vila da Praia da Vitória;524;
2004101: Vila do Porto;200;
2004206: Vila Franca do Campo;434;
3: Região Autónoma da Madeira;6605;
30: Região Autónoma da Madeira;6605;
300: Região Autónoma da Madeira;6605;
3003101: Calheta (R.A.M.);219;
3003102: Câmara de Lobos;822;
3003103: Funchal;2757;
3003104: Machico;670;
3003105: Ponta do Sol;173;
3003106: Porto Moniz;59;
3003107: Ribeira Brava;279;
3003108: Santa Cruz;1116;
3003109: Santana;150;
3003110: São Vicente;89;
3003201: Porto Santo;271;

Beneficiárias/os de subsídios de desemprego, da segurança social (N.º) por Local de residência (NUTS - 2024) e Grupo etário -  Anual - Instituto de Informática

Nota(s):
(1) Inclui beneficiárias/os de subsídio de desemprego, subsídio social de desemprego inicial e subsequente, prolongamento de subsídio social de desemprego e medida extraordinária de apoio aos desempregados de longa duração. O total de Portugal inclui beneficiárias/os com residência não determinada. Os beneficiárias/os são contados tantas vezes quantas os subsídios que recebem.



Última atualização destes dados: 01 de setembro de 2025


Metainformação associada ao quadro

Beneficiárias/os de subsídios de desemprego, da segurança social (N.º)
Designação;Beneficiárias/os de subsídios de desemprego, da segurança social (N.º) por Local de residência (NUTS - 2024) e Grupo etário -  Anual
Periodicidade;Anual
Fonte;Instituto de Informática
Primeiro período disponível;2023
Último período disponível;2024
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2024)
     Dimensão 3;Grupo etário
Conceitos
     BENEFICIÁRIO;Pessoa inscrita como titular do direito a proteção social no âmbito dos Regimes da Segurança Social, contributivos e não contributivos.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     SUBSÍDIO DE DESEMPREGO;Prestação pecuniária concedida aos trabalhadores que reúnam, na generalidade, as seguintes condições: terem sido trabalhadores por conta de outrem, durante, pelo menos, 540 dias de trabalho com o correspondente registo de remuneração num período de 24 meses imediatamente anterior à data de desemprego; tenham capacidade e disponibilidade para o trabalho; estejam em situação de desemprego involuntário; estejam inscritos nos centros de emprego; contribuam sobre salários reais.
     GRUPO ETÁRIO;Intervalo de idade, em anos, no qual o indivíduo se enquadra, de acordo com o momento de referência
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Observações;SEGURANÇA SOCIAL: Conjunto de sistemas e subsistemas de direito exercido nos termos estabelecidos na Constituição, nos instrumentos internacionais aplicáveis e na Lei de Bases da Segurança Social.
Data da última atualização;01-Sep-2025
