
Quadro extraído em 09 de Dezembro de 2025 (22:21:16)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Taxa de atração líquida (%) de população empregada por conta de outrem por Localização geográfica (NUTS - 2024) -  Anual (1) ;
;Período de referência dos dados;
;2023;
;% ;
PT: Portugal;x x;
1960911: Sabugal;0,6;
1960912: Seia;1;
1960913: Trancoso;-0,3;
1D: Oeste e Vale do Tejo;0,6;
1D1: Oeste;1,2;
1D11001: Alcobaça;-0,4;
1D11101: Alenquer;1,3;
1D11102: Arruda dos Vinhos;1,8;
1D11005: Bombarral;1,9;
1D11104: Cadaval;-0,6;
1D11006: Caldas da Rainha;-2;
1D11108: Lourinhã;0;
1D11011: Nazaré;0,6;
1D11012: Óbidos;14,2;
1D11014: Peniche;-0,1;
1D11112: Sobral de Monte Agraço;-1;
1D11113: Torres Vedras;2,4;
1D2: Médio Tejo;-0,2;
1D21401: Abrantes;0,1;
1D21402: Alcanena;-1,5;
1D21408: Constância;0,9;
1D21410: Entroncamento;-0,7;
1D21411: Ferreira do Zêzere;-2,5;
1D21413: Mação;1,3;
1D21421: Ourém;-0,2;
1D21417: Sardoal;-2,4;
1D21418: Tomar;-0,5;
1D21419: Torres Novas;0,4;
1D21420: Vila Nova da Barquinha;3,2;
1D3: Lezíria do Tejo;0,3;
1D31403: Almeirim;-1,4;
1D31404: Alpiarça;0,1;
1D31103: Azambuja;3;
1D31405: Benavente;2,8;
1D31406: Cartaxo;0,5;
1D31407: Chamusca;-2,5;
1D31409: Coruche;1,9;
1D31412: Golegã;2,7;
1D31414: Rio Maior;0,2;
1D31415: Salvaterra de Magos;-0,1;
1D31416: Santarém;-2,5;
1A: Grande Lisboa;0;
1A0: Grande Lisboa;0;
1A01115: Amadora;0,3;
1A01105: Cascais;0,8;
1A01106: Lisboa;-0,4;
1A01107: Loures;-1,3;
1A01109: Mafra;1,1;
1A01116: Odivelas;-3,7;
1A01110: Oeiras;2,4;
1A01111: Sintra;-0,4;
1A01114: Vila Franca de Xira;0,1;
1B: Península de Setúbal;-1,3;
1B0: Península de Setúbal;-1,3;
1B01502: Alcochete;-1,2;
1B01503: Almada;-0,3;
1B01504: Barreiro;-4,8;
1B01506: Moita;2,6;
1B01507: Montijo;-3,6;
1B01508: Palmela;0,3;
1B01510: Seixal;-0,1;
1B01511: Sesimbra;-1;
1B01512: Setúbal;-2,7;
1C: Alentejo;-0,5;
1C1: Alentejo Litoral;-1,8;
1C11501: Alcácer do Sal;0,1;
1C11505: Grândola;-0,7;
1C10211: Odemira;-6,5;
1C11509: Santiago do Cacém;5,1;
1C11513: Sines;-1,2;
1C2: Baixo Alentejo;-0,7;
1C20201: Aljustrel;4,3;
1C20202: Almodôvar;-4;
1C20203: Alvito;19;
1C20204: Barrancos;-1,3;
1C20205: Beja;-1,4;
1C20206: Castro Verde;0,6;
1C20207: Cuba;-14,7;
1C20208: Ferreira do Alentejo;-1,1;
1C20209: Mértola;-0,7;
1C20210: Moura;1,3;
1C20212: Ourique;1,8;
1C20213: Serpa;-4,2;
1C20214: Vidigueira;1,8;
1C3: Alto Alentejo;0,4;
1C31201: Alter do Chão;-0,5;
1C31202: Arronches;3;
1C31203: Avis;-1,4;
1C31204: Campo Maior;2,4;
1C31205: Castelo de Vide;-1;
1C31206: Crato;-0,7;
1C31207: Elvas;0,1;
1C31208: Fronteira;-0,6;
1C31209: Gavião;4,3;
1C31210: Marvão;-1,1;
1C31211: Monforte;2,9;
1C31212: Nisa;-3,2;
1C31213: Ponte de Sor;1,3;
1C31214: Portalegre;0,1;
1C31215: Sousel;-2,7;
1C4: Alentejo Central;0,2;
1C40701: Alandroal;1,3;
1C40702: Arraiolos;-0,2;
1C40703: Borba;0,6;
1C40704: Estremoz;1,8;
1C40705: Évora;-0,7;
1C40706: Montemor-o-Novo;0,7;
1C40707: Mora;0,7;
1C40708: Mourão;6,4;
1C40709: Portel;0,6;
1C40710: Redondo;2,3;
1C40711: Reguengos de Monsaraz;0,9;
1C40712: Vendas Novas;-0,1;
1C40713: Viana do Alentejo;1,5;
1C40714: Vila Viçosa;0,6;
15: Algarve;-0,8;
150: Algarve;-0,8;
1500801: Albufeira;1,6;
1500802: Alcoutim;-9,4;
1500803: Aljezur;-1,5;
1500804: Castro Marim;-2;
1500805: Faro;-0,2;
1500806: Lagoa;3;
1500807: Lagos;-0,5;
1500808: Loulé;-2,4;
1500809: Monchique;2,1;
1500810: Olhão;0,1;
1500811: Portimão;-4,2;
1500812: São Brás de Alportel;1,3;
1500813: Silves;1,4;
1500814: Tavira;-0,7;
1500815: Vila do Bispo;-2,3;
1500816: Vila Real de Santo António;-1,5;
2: Região Autónoma dos Açores;0,5;
20: Região Autónoma dos Açores;0,5;
200: Região Autónoma dos Açores;0,5;
2004301: Angra do Heroísmo;0;
2004501: Calheta (R.A.A.);-0,7;
2004901: Corvo;5,5;
2004701: Horta;1,3;
2004201: Lagoa (R.A.A.);-2,7;
2004801: Lajes das Flores;-45,5;
2004601: Lajes do Pico;-1,9;
2004602: Madalena;2,8;
2004202: Nordeste;-1,5;
2004203: Ponta Delgada;0,4;
2004204: Povoação;1,6;
2004205: Ribeira Grande;2,7;
2004401: Santa Cruz da Graciosa;-0,2;
2004802: Santa Cruz das Flores;-2,8;
2004603: São Roque do Pico;-1,6;
2004502: Velas;2,9;
2004302: Vila da Praia da Vitória;-0,6;
2004101: Vila do Porto;0,3;
2004206: Vila Franca do Campo;1,9;
3: Região Autónoma da Madeira;1,4;
30: Região Autónoma da Madeira;1,4;
300: Região Autónoma da Madeira;1,4;
3003101: Calheta (R.A.M.);0,6;
3003102: Câmara de Lobos;0,2;
3003103: Funchal;2;
3003104: Machico;0,2;
3003105: Ponta do Sol;-3,6;
3003106: Porto Moniz;1,5;
3003107: Ribeira Brava;0,5;
3003108: Santa Cruz;0,3;
3003109: Santana;-3,4;
3003110: São Vicente;0,8;
3003201: Porto Santo;2,1;

Taxa de atração líquida (%) de população empregada por conta de outrem por Localização geográfica (NUTS - 2024) -  Anual - MTSSS/GEP, Quadros de pessoal

