
Quadro extraído em 09 de Dezembro de 2025 (18:39:43)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Diplomadas/os do ensino superior (N.º) por Localização geográfica (NUTS - 2024), Sexo e Natureza institucional -  Anual (1) ;
;;Sexo;
;;HM;
;;Natureza institucional;
;;Total;
;;N.º ;
;1950502: Castelo Branco;744;
;1950505: Idanha-a-Nova;102;
;1950506: Oleiros;- -;
;1950507: Penamacor;- -;
;1950508: Proença-a-Nova;- -;
;1950509: Sertã;- -;
;1950510: Vila de Rei;- -;
;1950511: Vila Velha de Ródão;- -;
;196: Beiras e Serra da Estrela;2169;
;1960902: Almeida;- -;
;1960501: Belmonte;- -;
;1960903: Celorico da Beira;- -;
;1960503: Covilhã;1651;
;1960904: Figueira de Castelo Rodrigo;- -;
;1960905: Fornos de Algodres;- -;
;1960504: Fundão;- -;
;1960906: Gouveia;- -;
;1960907: Guarda;478;
;1960908: Manteigas;- -;
;1960909: Mêda;- -;
;1960910: Pinhel;- -;
;1960911: Sabugal;- -;
;1960912: Seia;40;
;1960913: Trancoso;- -;
;1D: Oeste e Vale do Tejo;2133;
;1D1: Oeste;804;
;1D11001: Alcobaça;- -;
;1D11101: Alenquer;- -;
;1D11102: Arruda dos Vinhos;- -;
;1D11005: Bombarral;- -;
;1D11104: Cadaval;- -;
;1D11006: Caldas da Rainha;395;
;1D11108: Lourinhã;- -;
;1D11011: Nazaré;- -;
;1D11012: Óbidos;- -;
;1D11014: Peniche;409;
;1D11112: Sobral de Monte Agraço;- -;
;1D11113: Torres Vedras;- -;
;1D2: Médio Tejo;363;
;1D21401: Abrantes;57;
;1D21402: Alcanena;- -;
;1D21408: Constância;- -;
;1D21410: Entroncamento;- -;
;1D21411: Ferreira do Zêzere;- -;
;1D21413: Mação;- -;
;1D21421: Ourém;- -;
;1D21417: Sardoal;- -;
;1D21418: Tomar;306;
;1D21419: Torres Novas;- -;
;1D21420: Vila Nova da Barquinha;- -;
;1D3: Lezíria do Tejo;966;
;1D31403: Almeirim;- -;
;1D31404: Alpiarça;- -;
;1D31103: Azambuja;- -;
;1D31405: Benavente;- -;
;1D31406: Cartaxo;- -;
;1D31407: Chamusca;- -;
;1D31409: Coruche;- -;
;1D31412: Golegã;- -;
;1D31414: Rio Maior;220;
;1D31415: Salvaterra de Magos;- -;
;1D31416: Santarém;746;
;1A: Grande Lisboa;28317;
;1A0: Grande Lisboa;28317;
;1A01115: Amadora;121;
;1A01105: Cascais;2054;
;1A01106: Lisboa;24953;
;1A01107: Loures;- -;
;1A01109: Mafra;- -;
;1A01116: Odivelas;138;
;1A01110: Oeiras;1041;
;1A01111: Sintra;10;
;1A01114: Vila Franca de Xira;- -;
;1B: Península de Setúbal;3342;
;1B0: Península de Setúbal;3342;
;1B01502: Alcochete;- -;
;1B01503: Almada;1953;
;1B01504: Barreiro;111;
;1B01506: Moita;- -;
;1B01507: Montijo;- -;
;1B01508: Palmela;- -;
;1B01510: Seixal;- -;
;1B01511: Sesimbra;- -;
;1B01512: Setúbal;1278;
;1C: Alentejo;2467;
;1C1: Alentejo Litoral;- -;
;1C11501: Alcácer do Sal;- -;
;1C11505: Grândola;- -;
;1C10211: Odemira;- -;
;1C11509: Santiago do Cacém;- -;
;1C11513: Sines;- -;
;1C2: Baixo Alentejo;651;
;1C20201: Aljustrel;- -;
;1C20202: Almodôvar;- -;
;1C20203: Alvito;- -;
;1C20204: Barrancos;- -;
;1C20205: Beja;651;
;1C20206: Castro Verde;- -;
;1C20207: Cuba;- -;
;1C20208: Ferreira do Alentejo;- -;
;1C20209: Mértola;- -;
;1C20210: Moura;- -;
;1C20212: Ourique;- -;
;1C20213: Serpa;- -;
;1C20214: Vidigueira;- -;
;1C3: Alto Alentejo;447;
;1C31201: Alter do Chão;- -;
;1C31202: Arronches;- -;
;1C31203: Avis;- -;
;1C31204: Campo Maior;- -;
;1C31205: Castelo de Vide;- -;
;1C31206: Crato;- -;
;1C31207: Elvas;89;
;1C31208: Fronteira;- -;
;1C31209: Gavião;- -;
;1C31210: Marvão;- -;
;1C31211: Monforte;- -;
;1C31212: Nisa;- -;
;1C31213: Ponte de Sor;- -;
;1C31214: Portalegre;358;
;1C31215: Sousel;- -;
;1C4: Alentejo Central;1369;
;1C40701: Alandroal;- -;
;1C40702: Arraiolos;- -;
;1C40703: Borba;- -;
;1C40704: Estremoz;- -;
;1C40705: Évora;1369;
;1C40706: Montemor-o-Novo;- -;
;1C40707: Mora;- -;
;1C40708: Mourão;- -;
;1C40709: Portel;- -;
;1C40710: Redondo;- -;
;1C40711: Reguengos de Monsaraz;- -;
;1C40712: Vendas Novas;- -;
;1C40713: Viana do Alentejo;- -;
;1C40714: Vila Viçosa;- -;
;15: Algarve;1976;
;150: Algarve;1976;
;1500801: Albufeira;- -;
;1500802: Alcoutim;- -;
;1500803: Aljezur;- -;
;1500804: Castro Marim;- -;
;1500805: Faro;1756;
;1500806: Lagoa;- -;
;1500807: Lagos;- -;
;1500808: Loulé;- -;
;1500809: Monchique;- -;
;1500810: Olhão;- -;
;1500811: Portimão;188;
;1500812: São Brás de Alportel;- -;
;1500813: Silves;32;
;1500814: Tavira;- -;
;1500815: Vila do Bispo;- -;
;1500816: Vila Real de Santo António;- -;
;2: Região Autónoma dos Açores;445;
;20: Região Autónoma dos Açores;445;
;200: Região Autónoma dos Açores;445;
;2004301: Angra do Heroísmo;59;
;2004501: Calheta (R.A.A.);- -;
;2004901: Corvo;- -;
;2004701: Horta;- -;
;2004201: Lagoa (R.A.A.);- -;
;2004801: Lajes das Flores;- -;
;2004601: Lajes do Pico;- -;
;2004602: Madalena;- -;
;2004202: Nordeste;- -;
;2004203: Ponta Delgada;386;
;2004204: Povoação;- -;
;2004205: Ribeira Grande;- -;
;2004401: Santa Cruz da Graciosa;- -;
;2004802: Santa Cruz das Flores;- -;
;2004603: São Roque do Pico;- -;
;2004502: Velas;- -;
;2004302: Vila da Praia da Vitória;- -;
;2004101: Vila do Porto;- -;
;2004206: Vila Franca do Campo;- -;
;3: Região Autónoma da Madeira;793;
;30: Região Autónoma da Madeira;793;
;300: Região Autónoma da Madeira;793;
;3003101: Calheta (R.A.M.);- -;
