
Quadro extraído em 09 de Dezembro de 2025 (18:27:13)
http://www.ine.pt



Localização geográfica (NUTS - 2013);Dissolução de pessoas coletivas e entidades equiparadas (N.º) por Localização geográfica (NUTS - 2013) e Atividade económica (Subclasse - CAE Rev. 3) -  Anual;
;Período de referência dos dados;
;2023;
;Atividade económica (Subclasse - CAE Rev. 3);
;Total;
;N.º ;
16J0905: Fornos de Algodres;4;
16J0504: Fundão;19;
16J0906: Gouveia;9;
16J0907: Guarda;38;
16J0908: Manteigas;5;
16J0909: Mêda;5;
16J0910: Pinhel;6;
16J0911: Sabugal;20;
16J0912: Seia;26;
16J0913: Trancoso;12;
17: Área Metropolitana de Lisboa;5194;
170: Área Metropolitana de Lisboa;5194;
1701502: Alcochete;21;
1701503: Almada;208;
1701115: Amadora;185;
1701504: Barreiro;61;
1701105: Cascais;484;
1701106: Lisboa;2029;
1701107: Loures;237;
1701109: Mafra;118;
1701506: Moita;49;
1701507: Montijo;69;
1701116: Odivelas;204;
1701110: Oeiras;344;
1701508: Palmela;96;
1701510: Seixal;172;
1701511: Sesimbra;52;
1701512: Setúbal;166;
1701111: Sintra;572;
1701114: Vila Franca de Xira;127;
18: Alentejo;743;
181: Alentejo Litoral;129;
1811501: Alcácer do Sal;15;
1811505: Grândola;19;
1810211: Odemira;46;
1811509: Santiago do Cacém;29;
1811513: Sines;20;
184: Baixo Alentejo;123;
1840201: Aljustrel;9;
1840202: Almodôvar;8;
1840203: Alvito;2;
1840204: Barrancos;0;
1840205: Beja;54;
1840206: Castro Verde;3;
1840207: Cuba;10;
1840208: Ferreira do Alentejo;5;
1840209: Mértola;6;
1840210: Moura;4;
1840212: Ourique;7;
1840213: Serpa;9;
1840214: Vidigueira;6;
185: Lezíria do Tejo;225;
1851403: Almeirim;16;
1851404: Alpiarça;20;
1851103: Azambuja;12;
1851405: Benavente;32;
1851406: Cartaxo;21;
1851407: Chamusca;9;
1851409: Coruche;17;
1851412: Golegã;4;
1851414: Rio Maior;15;
1851415: Salvaterra de Magos;15;
1851416: Santarém;64;
186: Alto Alentejo;91;
1861201: Alter do Chão;2;
1861202: Arronches;1;
1861203: Avis;7;
1861204: Campo Maior;6;
1861205: Castelo de Vide;1;
1861206: Crato;5;
1861207: Elvas;21;
1861208: Fronteira;0;
1861209: Gavião;2;
1861210: Marvão;0;
1861211: Monforte;2;
1861212: Nisa;8;
1861213: Ponte de Sor;16;
1861214: Portalegre;18;
1861215: Sousel;2;
187: Alentejo Central;175;
1870701: Alandroal;4;
1870702: Arraiolos;14;
1870703: Borba;4;
1870704: Estremoz;8;
1870705: Évora;73;
1870706: Montemor-o-Novo;15;
1870707: Mora;7;
1870708: Mourão;3;
1870709: Portel;5;
1870710: Redondo;3;
1870711: Reguengos de Monsaraz;12;
1870712: Vendas Novas;13;
1870713: Viana do Alentejo;8;
1870714: Vila Viçosa;6;
15: Algarve;697;
150: Algarve;697;
1500801: Albufeira;72;
1500802: Alcoutim;5;
