
Quadro extraído em 09 de Dezembro de 2025 (18:31:20)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Custos com o pessoal (?) nos estabelecimentos de bancos e caixas económicas por Localização geográfica (NUTS - 2024) -  Anual;
;Período de referência dos dados;
;2023;
;? (milhares);
1950511: Vila Velha de Ródão;? ?;
196: Beiras e Serra da Estrela;15969;
1960902: Almeida;? ?;
1960501: Belmonte;? ?;
1960903: Celorico da Beira;? ?;
1960503: Covilhã;3614;
1960904: Figueira de Castelo Rodrigo;394;
1960905: Fornos de Algodres;? ?;
1960504: Fundão;1936;
1960906: Gouveia;793;
1960907: Guarda;3358;
1960908: Manteigas;? ?;
1960909: Mêda;? ?;
1960910: Pinhel;? ?;
1960911: Sabugal;1269;
1960912: Seia;1492;
1960913: Trancoso;1131;
1D: Oeste e Vale do Tejo;56319;
1D1: Oeste;22877;
1D11001: Alcobaça;3709;
1D11101: Alenquer;1581;
1D11102: Arruda dos Vinhos;743;
1D11005: Bombarral;811;
1D11104: Cadaval;? ?;
1D11006: Caldas da Rainha;4337;
1D11108: Lourinhã;1661;
1D11011: Nazaré;1252;
1D11012: Óbidos;? ?;
1D11014: Peniche;1769;
1D11112: Sobral de Monte Agraço;? ?;
1D11113: Torres Vedras;6223;
1D2: Médio Tejo;16682;
1D21401: Abrantes;2126;
1D21402: Alcanena;802;
1D21408: Constância;? ?;
1D21410: Entroncamento;1644;
1D21411: Ferreira do Zêzere;? ?;
1D21413: Mação;? ?;
1D21421: Ourém;5563;
1D21417: Sardoal;? ?;
1D21418: Tomar;2777;
1D21419: Torres Novas;2875;
1D21420: Vila Nova da Barquinha;? ?;
1D3: Lezíria do Tejo;16760;
1D31403: Almeirim;1989;
1D31404: Alpiarça;? ?;
1D31103: Azambuja;455;
1D31405: Benavente;1946;
1D31406: Cartaxo;1834;
1D31407: Chamusca;? ?;
1D31409: Coruche;871;
1D31412: Golegã;? ?;
1D31414: Rio Maior;1717;
1D31415: Salvaterra de Magos;? ?;
1D31416: Santarém;6839;
1A: Grande Lisboa;1760759;
1A0: Grande Lisboa;1760759;
1A01115: Amadora;9334;
1A01105: Cascais;29754;
1A01106: Lisboa;1399789;
1A01107: Loures;9548;
1A01109: Mafra;4986;
1A01116: Odivelas;7621;
1A01110: Oeiras;272036;
1A01111: Sintra;18572;
1A01114: Vila Franca de Xira;9119;
1B: Península de Setúbal;46696;
1B0: Península de Setúbal;46696;
1B01502: Alcochete;1024;
1B01503: Almada;13666;
1B01504: Barreiro;3801;
1B01506: Moita;3253;
1B01507: Montijo;2981;
1B01508: Palmela;2683;
1B01510: Seixal;5764;
1B01511: Sesimbra;2870;
1B01512: Setúbal;10654;
1C: Alentejo;30468;
1C1: Alentejo Litoral;4977;
1C11501: Alcácer do Sal;569;
1C11505: Grândola;755;
1C10211: Odemira;1048;
1C11509: Santiago do Cacém;896;
1C11513: Sines;1709;
1C2: Baixo Alentejo;6658;
1C20201: Aljustrel;? ?;
1C20202: Almodôvar;? ?;
1C20203: Alvito;? ?;
1C20204: Barrancos;? ?;
1C20205: Beja;3058;
1C20206: Castro Verde;542;
1C20207: Cuba;? ?;
1C20208: Ferreira do Alentejo;? ?;
1C20209: Mértola;? ?;
1C20210: Moura;? ?;
1C20212: Ourique;? ?;
1C20213: Serpa;617;
1C20214: Vidigueira;? ?;
1C3: Alto Alentejo;5855;
1C31201: Alter do Chão;? ?;
1C31202: Arronches;? ?;
1C31203: Avis;? ?;
1C31204: Campo Maior;? ?;
1C31205: Castelo de Vide;? ?;
1C31206: Crato;? ?;
1C31207: Elvas;1740;
1C31208: Fronteira;? ?;
1C31209: Gavião;? ?;
1C31210: Marvão;? ?;
1C31211: Monforte;? ?;
1C31212: Nisa;? ?;
1C31213: Ponte de Sor;832;
1C31214: Portalegre;1680;
1C31215: Sousel;? ?;
1C4: Alentejo Central;12978;
1C40701: Alandroal;? ?;
1C40702: Arraiolos;? ?;
1C40703: Borba;? ?;
1C40704: Estremoz;1514;
1C40705: Évora;6656;
1C40706: Montemor-o-Novo;1220;
1C40707: Mora;? ?;
1C40708: Mourão;? ?;
1C40709: Portel;? ?;
1C40710: Redondo;? ?;
1C40711: Reguengos de Monsaraz;747;
1C40712: Vendas Novas;1201;
1C40713: Viana do Alentejo;? ?;
1C40714: Vila Viçosa;? ?;
15: Algarve;39188;
150: Algarve;39188;
