
Quadro extraído em 19 de Dezembro de 2025 (17:10:09)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Ganho médio mensal (?) por Localização geográfica (NUTS - 2024), Sector de atividade económica (CAE Rev. 3) e Sexo -  Anual (1) ;
;;Setor de atividade económica (CAE Rev. 3);
;;Total;
;;Sexo;
;;HM;
;;? ;
;1931013: Pedrógão Grande;1080,17;
;1931015: Pombal;1241,39;
;1931016: Porto de Mós;1331,41;
;194: Viseu Dão Lafões;1239,62;
;1940901: Aguiar da Beira;1016,9;
;1941802: Carregal do Sal;1207,84;
;1941803: Castro Daire;1078,67;
;1941806: Mangualde;1342,47;
;1941809: Nelas;1305,61;
;1941810: Oliveira de Frades;1391,3;
;1941811: Penalva do Castelo;1089,89;
;1941814: Santa Comba Dão;1126,04;
;1941816: São Pedro do Sul;1029,07;
;1941817: Sátão;1001,46;
;1941821: Tondela;1306,28;
;1941822: Vila Nova de Paiva;1048,36;
;1941823: Viseu;1254,99;
;1941824: Vouzela;1127,56;
;195: Beira Baixa;1188,93;
;1950502: Castelo Branco;1199,52;
;1950505: Idanha-a-Nova;1171,49;
;1950506: Oleiros;1187,91;
;1950507: Penamacor;1058,45;
;1950508: Proença-a-Nova;1202,06;
;1950509: Sertã;1083,95;
;1950510: Vila de Rei;1007,65;
;1950511: Vila Velha de Ródão;1547,31;
;196: Beiras e Serra da Estrela;1180,54;
;1960902: Almeida;1083,53;
;1960501: Belmonte;1041,94;
;1960903: Celorico da Beira;1165,08;
;1960503: Covilhã;1178,54;
;1960904: Figueira de Castelo Rodrigo;1036,3;
;1960905: Fornos de Algodres;1011,34;
;1960504: Fundão;1186,86;
;1960906: Gouveia;1098,84;
;1960907: Guarda;1330,59;
;1960908: Manteigas;1067,28;
;1960909: Mêda;1019,06;
;1960910: Pinhel;1045,23;
;1960911: Sabugal;1091,03;
;1960912: Seia;1081,06;
;1960913: Trancoso;1131,13;
;1D: Oeste e Vale do Tejo;1249,77;
;1D1: Oeste;1237,75;
;1D11001: Alcobaça;1214,64;
;1D11101: Alenquer;1382,69;
;1D11102: Arruda dos Vinhos;1283,1;
;1D11005: Bombarral;1130,12;
;1D11104: Cadaval;1176,95;
;1D11006: Caldas da Rainha;1241,32;
;1D11108: Lourinhã;1169,56;
;1D11011: Nazaré;1225,66;
;1D11012: Óbidos;1242,84;
;1D11014: Peniche;1136,35;
;1D11112: Sobral de Monte Agraço;1156,14;
;1D11113: Torres Vedras;1232,76;
;1D2: Médio Tejo;1259,29;
;1D21401: Abrantes;1288,99;
;1D21402: Alcanena;1324,31;
;1D21408: Constância;1418,8;
;1D21410: Entroncamento;1343,34;
;1D21411: Ferreira do Zêzere;1158,4;
;1D21413: Mação;1072,83;
;1D21421: Ourém;1244,44;
;1D21417: Sardoal;998,87;
;1D21418: Tomar;1199,67;
;1D21419: Torres Novas;1298,5;
;1D21420: Vila Nova da Barquinha;1117,29;
;1D3: Lezíria do Tejo;1260,73;
;1D31403: Almeirim;1235,1;
;1D31404: Alpiarça;1154,91;
;1D31103: Azambuja;1226,27;
;1D31405: Benavente;1348,81;
;1D31406: Cartaxo;1243,67;
;1D31407: Chamusca;1194,43;
;1D31409: Coruche;1209,55;
;1D31412: Golegã;1224,74;
;1D31414: Rio Maior;1257,29;
;1D31415: Salvaterra de Magos;1165,22;
;1D31416: Santarém;1301,61;
;1A: Grande Lisboa;1817,17;
;1A0: Grande Lisboa;1817,17;
;1A01115: Amadora;1734,78;
;1A01105: Cascais;1449,78;
;1A01106: Lisboa;1985,55;
;1A01107: Loures;1440,27;
;1A01109: Mafra;1256,05;
;1A01116: Odivelas;1185,87;
;1A01110: Oeiras;2104,83;
;1A01111: Sintra;1439,46;
;1A01114: Vila Franca de Xira;1475,17;
;1B: Península de Setúbal;1433,11;
;1B0: Península de Setúbal;1433,11;
;1B01502: Alcochete;2338,92;
;1B01503: Almada;1354,34;
