
Quadro extraído em 09 de Dezembro de 2025 (22:07:52)
http://www.ine.pt



Local de residência (NUTS - 2024);Valor processado de subsídios de desemprego da segurança social (?) por Local de residência (NUTS - 2024) e Sexo -  Anual (1) ;
;Período de referência dos dados;
;2023;
;Sexo;
;HM;
;? (milhares);
1D21401: Abrantes;3893;
1D21402: Alcanena;1144;
1D21408: Constância;342;
1D21410: Entroncamento;1916;
1D21411: Ferreira do Zêzere;284;
1D21413: Mação;353;
1D21421: Ourém;3081;
1D21417: Sardoal;381;
1D21418: Tomar;2245;
1D21419: Torres Novas;3071;
1D21420: Vila Nova da Barquinha;492;
1D3: Lezíria do Tejo;26055;
1D31403: Almeirim;2340;
1D31404: Alpiarça;768;
1D31103: Azambuja;2819;
1D31405: Benavente;3987;
1D31406: Cartaxo;2886;
1D31407: Chamusca;730;
1D31409: Coruche;1802;
1D31412: Golegã;409;
1D31414: Rio Maior;1959;
1D31415: Salvaterra de Magos;3083;
1D31416: Santarém;5272;
1A: Grande Lisboa;236410;
1A0: Grande Lisboa;236410;
1A01115: Amadora;18839;
1A01105: Cascais;24633;
1A01106: Lisboa;61144;
1A01107: Loures;24502;
1A01109: Mafra;8274;
1A01116: Odivelas;16069;
1A01110: Oeiras;19702;
1A01111: Sintra;45194;
1A01114: Vila Franca de Xira;18052;
1B: Península de Setúbal;105265;
1B0: Península de Setúbal;105265;
1B01502: Alcochete;2243;
1B01503: Almada;21326;
1B01504: Barreiro;10585;
1B01506: Moita;9507;
1B01507: Montijo;8284;
1B01508: Palmela;9259;
1B01510: Seixal;18946;
1B01511: Sesimbra;6977;
1B01512: Setúbal;18138;
1C: Alentejo;50997;
1C1: Alentejo Litoral;16593;
1C11501: Alcácer do Sal;868;
1C11505: Grândola;796;
1C10211: Odemira;10004;
1C11509: Santiago do Cacém;2888;
1C11513: Sines;2036;
1C2: Baixo Alentejo;10510;
1C20201: Aljustrel;797;
1C20202: Almodôvar;537;
1C20203: Alvito;217;
1C20204: Barrancos;206;
1C20205: Beja;2564;
1C20206: Castro Verde;505;
1C20207: Cuba;340;
1C20208: Ferreira do Alentejo;829;
1C20209: Mértola;619;
1C20210: Moura;1306;
1C20212: Ourique;462;
1C20213: Serpa;1635;
1C20214: Vidigueira;495;
1C3: Alto Alentejo;10878;
1C31201: Alter do Chão;285;
1C31202: Arronches;197;
1C31203: Avis;358;
1C31204: Campo Maior;1192;
1C31205: Castelo de Vide;204;
1C31206: Crato;219;
1C31207: Elvas;2618;
1C31208: Fronteira;311;
1C31209: Gavião;247;
1C31210: Marvão;175;
1C31211: Monforte;251;
1C31212: Nisa;397;
1C31213: Ponte de Sor;1822;
1C31214: Portalegre;2108;
1C31215: Sousel;496;
1C4: Alentejo Central;13016;
1C40701: Alandroal;376;
1C40702: Arraiolos;550;
1C40703: Borba;623;
1C40704: Estremoz;980;
1C40705: Évora;4636;
1C40706: Montemor-o-Novo;1053;
1C40707: Mora;230;
1C40708: Mourão;371;
1C40709: Portel;634;
1C40710: Redondo;719;
1C40711: Reguengos de Monsaraz;990;
1C40712: Vendas Novas;934;
1C40713: Viana do Alentejo;342;
1C40714: Vila Viçosa;579;
15: Algarve;62840;
150: Algarve;62840;
1500801: Albufeira;12221;
1500802: Alcoutim;104;
1500803: Aljezur;620;
1500804: Castro Marim;547;
1500805: Faro;6763;
1500806: Lagoa;3205;
1500807: Lagos;3842;
1500808: Loulé;8964;
1500809: Monchique;349;
1500810: Olhão;4242;
1500811: Portimão;10209;
1500812: São Brás de Alportel;797;
1500813: Silves;5527;
1500814: Tavira;2448;
1500815: Vila do Bispo;655;
1500816: Vila Real de Santo António;2347;
2: Região Autónoma dos Açores;24243;
20: Região Autónoma dos Açores;24243;
200: Região Autónoma dos Açores;24243;
2004301: Angra do Heroísmo;3145;
2004501: Calheta (R.A.A.);233;
2004901: Corvo;20;
2004701: Horta;1133;
2004201: Lagoa (R.A.A.);1636;
2004801: Lajes das Flores;210;
2004601: Lajes do Pico;465;
2004602: Madalena;543;
2004202: Nordeste;1167;
2004203: Ponta Delgada;5683;
2004204: Povoação;1617;
2004205: Ribeira Grande;3363;
2004401: Santa Cruz da Graciosa;514;
2004802: Santa Cruz das Flores;248;
2004603: São Roque do Pico;317;
2004502: Velas;513;
2004302: Vila da Praia da Vitória;1587;
2004101: Vila do Porto;607;
2004206: Vila Franca do Campo;1243;
3: Região Autónoma da Madeira;20907;
30: Região Autónoma da Madeira;20907;
300: Região Autónoma da Madeira;20907;
3003101: Calheta (R.A.M.);645;
3003102: Câmara de Lobos;2388;
3003103: Funchal;9172;
3003104: Machico;2141;
3003105: Ponta do Sol;490;
3003106: Porto Moniz;197;
3003107: Ribeira Brava;790;
3003108: Santa Cruz;3770;
3003109: Santana;369;
3003110: São Vicente;248;
3003201: Porto Santo;698;

Valor processado de subsídios de desemprego da segurança social (?) por Local de residência (NUTS - 2024) e Sexo -  Anual - Instituto de Informática

Nota(s):
