
Quadro extraído em 09 de Dezembro de 2025 (21:57:21)
http://www.ine.pt



Local de residência (NUTS - 2024);Duração média do subsídio de desemprego da segurança social (Dia) por Local de residência (NUTS - 2024) e Sexo -  Anual (1) ;
;Período de referência dos dados;
;2023;
;Sexo;
;HM;
;Dia ;
1D21419: Torres Novas;154;
1D21420: Vila Nova da Barquinha;157;
1D3: Lezíria do Tejo;161;
1D31403: Almeirim;143;
1D31404: Alpiarça;146;
1D31103: Azambuja;168;
1D31405: Benavente;161;
1D31406: Cartaxo;171;
1D31407: Chamusca;155;
1D31409: Coruche;162;
1D31412: Golegã;168;
1D31414: Rio Maior;165;
1D31415: Salvaterra de Magos;161;
1D31416: Santarém;161;
1A: Grande Lisboa;187;
1A0: Grande Lisboa;187;
1A01115: Amadora;181;
1A01105: Cascais;196;
1A01106: Lisboa;190;
1A01107: Loures;190;
1A01109: Mafra;186;
1A01116: Odivelas;181;
1A01110: Oeiras;193;
1A01111: Sintra;182;
1A01114: Vila Franca de Xira;184;
1B: Península de Setúbal;178;
1B0: Península de Setúbal;178;
1B01502: Alcochete;183;
1B01503: Almada;190;
1B01504: Barreiro;176;
1B01506: Moita;177;
1B01507: Montijo;173;
1B01508: Palmela;175;
1B01510: Seixal;176;
1B01511: Sesimbra;179;
1B01512: Setúbal;171;
1C: Alentejo;154;
1C1: Alentejo Litoral;136;
1C11501: Alcácer do Sal;154;
1C11505: Grândola;161;
1C10211: Odemira;133;
1C11509: Santiago do Cacém;150;
1C11513: Sines;121;
1C2: Baixo Alentejo;168;
1C20201: Aljustrel;185;
1C20202: Almodôvar;176;
1C20203: Alvito;220;
1C20204: Barrancos;189;
1C20205: Beja;158;
1C20206: Castro Verde;166;
1C20207: Cuba;188;
1C20208: Ferreira do Alentejo;144;
1C20209: Mértola;187;
1C20210: Moura;166;
1C20212: Ourique;196;
1C20213: Serpa;166;
1C20214: Vidigueira;156;
1C3: Alto Alentejo;170;
1C31201: Alter do Chão;160;
1C31202: Arronches;195;
1C31203: Avis;167;
1C31204: Campo Maior;190;
1C31205: Castelo de Vide;204;
1C31206: Crato;184;
1C31207: Elvas;173;
1C31208: Fronteira;177;
1C31209: Gavião;194;
1C31210: Marvão;195;
1C31211: Monforte;188;
1C31212: Nisa;168;
1C31213: Ponte de Sor;150;
1C31214: Portalegre;172;
1C31215: Sousel;149;
1C4: Alentejo Central;159;
1C40701: Alandroal;157;
1C40702: Arraiolos;171;
1C40703: Borba;146;
1C40704: Estremoz;158;
1C40705: Évora;163;
1C40706: Montemor-o-Novo;159;
1C40707: Mora;138;
1C40708: Mourão;183;
1C40709: Portel;167;
1C40710: Redondo;170;
1C40711: Reguengos de Monsaraz;168;
1C40712: Vendas Novas;132;
1C40713: Viana do Alentejo;150;
1C40714: Vila Viçosa;154;
15: Algarve;129;
150: Algarve;129;
1500801: Albufeira;111;
1500802: Alcoutim;138;
1500803: Aljezur;138;
1500804: Castro Marim;129;
1500805: Faro;149;
1500806: Lagoa;126;
1500807: Lagos;133;
1500808: Loulé;125;
1500809: Monchique;174;
1500810: Olhão;156;
1500811: Portimão;130;
1500812: São Brás de Alportel;171;
1500813: Silves;132;
1500814: Tavira;131;
1500815: Vila do Bispo;113;
1500816: Vila Real de Santo António;140;
2: Região Autónoma dos Açores;184;
20: Região Autónoma dos Açores;184;
200: Região Autónoma dos Açores;184;
2004301: Angra do Heroísmo;179;
2004501: Calheta (R.A.A.);198;
2004901: Corvo;164;
2004701: Horta;171;
