
Quadro extraído em 09 de Dezembro de 2025 (18:37:19)
http://www.ine.pt



Período de referência dos dados (1) ;Localização geográfica (NUTS - 2024) (2) ;Taxa de transição/ conclusão no ensino secundário (%) por Localização geográfica (NUTS - 2024), Sexo e Oferta -  Anual;
;;Sexo;
;;HM;
;;Oferta;
;;Total;
;;% ;
;1960905: Fornos de Algodres;97;
;1960504: Fundão;92,5;
;1960906: Gouveia;93,4;
;1960907: Guarda;95,2;
;1960908: Manteigas;96,3;
;1960909: Mêda;81,4;
;1960910: Pinhel;97,9;
;1960911: Sabugal;94,1;
;1960912: Seia;93,6;
;1960913: Trancoso;92,3;
;1D: Oeste e Vale do Tejo;91,3;
;1D1: Oeste;90,1;
;1D11001: Alcobaça;92,6;
;1D11101: Alenquer;89,2;
;1D11102: Arruda dos Vinhos;91,7;
;1D11005: Bombarral;89,6;
;1D11104: Cadaval;87,1;
;1D11006: Caldas da Rainha;88,9;
;1D11108: Lourinhã;85,7;
;1D11011: Nazaré;89,7;
;1D11012: Óbidos;83;
;1D11014: Peniche;85,7;
;1D11112: Sobral de Monte Agraço;89,9;
;1D11113: Torres Vedras;91,8;
;1D2: Médio Tejo;93;
;1D21401: Abrantes;92,6;
;1D21402: Alcanena;98,3;
;1D21408: Constância;91,7;
;1D21410: Entroncamento;89,5;
;1D21411: Ferreira do Zêzere;95,8;
;1D21413: Mação;96,3;
;1D21421: Ourém;92,9;
;1D21417: Sardoal;98,9;
;1D21418: Tomar;94,2;
;1D21419: Torres Novas;91,7;
;1D21420: Vila Nova da Barquinha;92,5;
;1D3: Lezíria do Tejo;91,7;
;1D31403: Almeirim;93;
;1D31404: Alpiarça;96,9;
;1D31103: Azambuja;94;
;1D31405: Benavente;87,1;
;1D31406: Cartaxo;87,2;
;1D31407: Chamusca;97,8;
;1D31409: Coruche;92,6;
;1D31412: Golegã;85,2;
;1D31414: Rio Maior;91,6;
;1D31415: Salvaterra de Magos;93,7;
;1D31416: Santarém;92,6;
;1A: Grande Lisboa;88,2;
;1A0: Grande Lisboa;88,2;
;1A01115: Amadora;86,1;
