
Quadro extraído em 09 de Dezembro de 2025 (22:22:05)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Imposto sobre o rendimento de pessoas singulares liquidado por habitante (?) por Localização geográfica (NUTS - 2024) -  Anual;
;Período de referência dos dados;
;2023;
1D21411: Ferreira do Zêzere;691;
1D21413: Mação;821;
1D21421: Ourém;945;
1D21417: Sardoal;920;
1D21418: Tomar;1219;
1D21419: Torres Novas;1258;
1D21420: Vila Nova da Barquinha;1219;
1D3: Lezíria do Tejo;1175;
1D31403: Almeirim;971;
1D31404: Alpiarça;927;
1D31103: Azambuja;1035;
1D31405: Benavente;1370;
1D31406: Cartaxo;1265;
1D31407: Chamusca;744;
1D31409: Coruche;942;
1D31412: Golegã;1120;
1D31414: Rio Maior;999;
1D31415: Salvaterra de Magos;1053;
1D31416: Santarém;1438;
1A: Grande Lisboa;2526;
1A0: Grande Lisboa;2526;
1A01115: Amadora;1501;
1A01105: Cascais;2964;
1A01106: Lisboa;3917;
1A01107: Loures;1712;
1A01109: Mafra;1935;
1A01116: Odivelas;1693;
1A01110: Oeiras;3524;
1A01111: Sintra;1538;
1A01114: Vila Franca de Xira;1556;
1B: Península de Setúbal;1694;
1B0: Península de Setúbal;1694;
1B01502: Alcochete;2494;
1B01503: Almada;1948;
1B01504: Barreiro;1485;
1B01506: Moita;1060;
1B01507: Montijo;1575;
1B01508: Palmela;1693;
1B01510: Seixal;1671;
1B01511: Sesimbra;1564;
1B01512: Setúbal;1826;
1C: Alentejo;1221;
1C1: Alentejo Litoral;1369;
1C11501: Alcácer do Sal;1041;
1C11505: Grândola;1389;
1C10211: Odemira;748;
1C11509: Santiago do Cacém;1918;
1C11513: Sines;1916;
1C2: Baixo Alentejo;1169;
1C20201: Aljustrel;1379;
1C20202: Almodôvar;1340;
1C20203: Alvito;1032;
1C20204: Barrancos;624;
1C20205: Beja;1568;
1C20206: Castro Verde;1616;
1C20207: Cuba;1059;
1C20208: Ferreira do Alentejo;824;
1C20209: Mértola;707;
1C20210: Moura;739;
1C20212: Ourique;1052;
1C20213: Serpa;829;
1C20214: Vidigueira;884;
