
Quadro extraído em 19 de Dezembro de 2025 (17:01:32)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Proporção da população empregada por conta de outrem com ensino superior (%) por Localização geográfica (NUTS - 2024) -  Anual (1) ;
;Período de referência dos dados;
;2023;
;% ;
1D11101: Alenquer;13,4;
1D11102: Arruda dos Vinhos;16,9;
1D11005: Bombarral;10,9;
1D11104: Cadaval;13,2;
1D11006: Caldas da Rainha;17,4;
1D11108: Lourinhã;11,2;
1D11011: Nazaré;14,5;
1D11012: Óbidos;24,8;
1D11014: Peniche;11,9;
1D11112: Sobral de Monte Agraço;8,5;
1D11113: Torres Vedras;15,3;
1D2: Médio Tejo;18,4;
1D21401: Abrantes;21,4;
1D21402: Alcanena;19,2;
1D21408: Constância;17,6;
1D21410: Entroncamento;19,6;
1D21411: Ferreira do Zêzere;12,1;
1D21413: Mação;11,2;
1D21421: Ourém;17,5;
1D21417: Sardoal;11,5;
1D21418: Tomar;19,5;
1D21419: Torres Novas;19,3;
1D21420: Vila Nova da Barquinha;12,7;
1D3: Lezíria do Tejo;15,7;
1D31403: Almeirim;15,3;
1D31404: Alpiarça;13,6;
1D31103: Azambuja;12,6;
1D31405: Benavente;13,3;
1D31406: Cartaxo;15,9;
1D31407: Chamusca;15,5;
1D31409: Coruche;13,3;
1D31412: Golegã;17,8;
1D31414: Rio Maior;14,7;
1D31415: Salvaterra de Magos;10,2;
1D31416: Santarém;21,5;
1A: Grande Lisboa;39;
1A0: Grande Lisboa;39;
1A01115: Amadora;36,6;
1A01105: Cascais;26,1;
1A01106: Lisboa;47,8;
1A01107: Loures;19,5;
1A01109: Mafra;12,1;
1A01116: Odivelas;14,5;
1A01110: Oeiras;47,5;
1A01111: Sintra;20,5;
1A01114: Vila Franca de Xira;19,7;
1B: Península de Setúbal;17,9;
1B0: Península de Setúbal;17,9;
1B01502: Alcochete;17,7;
1B01503: Almada;24,3;
1B01504: Barreiro;18,9;
1B01506: Moita;15,4;
1B01507: Montijo;13,5;
1B01508: Palmela;16,6;
1B01510: Seixal;14,6;
1B01511: Sesimbra;11,1;
1B01512: Setúbal;19,4;
1C: Alentejo;17,1;
1C1: Alentejo Litoral;13,6;
1C11501: Alcácer do Sal;14,6;
1C11505: Grândola;14,9;
1C10211: Odemira;9;
1C11509: Santiago do Cacém;14,9;
1C11513: Sines;18,5;
1C2: Baixo Alentejo;16,5;
1C20201: Aljustrel;14,9;
1C20202: Almodôvar;9,3;
1C20203: Alvito;16,3;
1C20204: Barrancos;8,9;
1C20205: Beja;21,7;
1C20206: Castro Verde;15,7;
1C20207: Cuba;13,6;
1C20208: Ferreira do Alentejo;12,7;
1C20209: Mértola;10,9;
1C20210: Moura;14,3;
1C20212: Ourique;10,3;
1C20213: Serpa;11,4;
1C20214: Vidigueira;18,1;
1C3: Alto Alentejo;19,7;
1C31201: Alter do Chão;12,9;
1C31202: Arronches;20,9;
1C31203: Avis;11,7;
1C31204: Campo Maior;19,9;
1C31205: Castelo de Vide;13;
1C31206: Crato;10,8;
1C31207: Elvas;30,3;
1C31208: Fronteira;11,8;
1C31209: Gavião;10,5;
1C31210: Marvão;16,7;
1C31211: Monforte;21,5;
1C31212: Nisa;10,1;
1C31213: Ponte de Sor;13,4;
1C31214: Portalegre;21,6;
1C31215: Sousel;13,4;
1C4: Alentejo Central;19;
1C40701: Alandroal;12;
1C40702: Arraiolos;14,2;
1C40703: Borba;12,1;
1C40704: Estremoz;14,4;
1C40705: Évora;24,3;
1C40706: Montemor-o-Novo;16;
1C40707: Mora;14;
1C40708: Mourão;13,9;
1C40709: Portel;10,7;
1C40710: Redondo;16,2;
1C40711: Reguengos de Monsaraz;13,5;
1C40712: Vendas Novas;13,3;
1C40713: Viana do Alentejo;12,4;
1C40714: Vila Viçosa;16,4;
15: Algarve;15,2;
150: Algarve;15,2;
1500801: Albufeira;11,9;
1500802: Alcoutim;20,6;
1500803: Aljezur;9,4;
1500804: Castro Marim;11,6;
1500805: Faro;25,3;
1500806: Lagoa;13,6;
1500807: Lagos;12;
1500808: Loulé;14,3;
1500809: Monchique;11,8;
1500810: Olhão;14,4;
1500811: Portimão;16,2;
1500812: São Brás de Alportel;15,8;
1500813: Silves;11,9;
1500814: Tavira;12,6;
1500815: Vila do Bispo;10,6;
1500816: Vila Real de Santo António;9,3;
2: Região Autónoma dos Açores;16,3;
20: Região Autónoma dos Açores;16,3;
200: Região Autónoma dos Açores;16,3;
2004301: Angra do Heroísmo;18,8;
2004501: Calheta (R.A.A.);9,9;
2004901: Corvo;7,8;
2004701: Horta;16,4;
2004201: Lagoa (R.A.A.);16,1;
2004801: Lajes das Flores;5,9;
2004601: Lajes do Pico;11;
2004602: Madalena;10;
2004202: Nordeste;8,6;
2004203: Ponta Delgada;20,7;
2004204: Povoação;7,2;
2004205: Ribeira Grande;10,5;
2004401: Santa Cruz da Graciosa;9,2;
2004802: Santa Cruz das Flores;8,4;
2004603: São Roque do Pico;12;
2004502: Velas;10,9;
2004302: Vila da Praia da Vitória;11,5;
2004101: Vila do Porto;13,6;
2004206: Vila Franca do Campo;8,3;
3: Região Autónoma da Madeira;17,1;
30: Região Autónoma da Madeira;17,1;
300: Região Autónoma da Madeira;17,1;
3003101: Calheta (R.A.M.);9,6;
3003102: Câmara de Lobos;9;
3003103: Funchal;20,5;
3003104: Machico;14;
3003105: Ponta do Sol;10,4;
3003106: Porto Moniz;7,9;
3003107: Ribeira Brava;12,5;
3003108: Santa Cruz;11,2;
3003109: Santana;8;
3003110: São Vicente;8;
3003201: Porto Santo;5,9;

Proporção da população empregada por conta de outrem com ensino superior (%) por Localização geográfica (NUTS - 2024) -  Anual - MTSSS/GEP, Quadros de pessoal

Nota(s):
(1) Os dados referem-se a trabalhadores por conta de outrem a tempo completo com remuneração completa.



Última atualização destes dados: 04 de abril de 2025


Metainformação associada ao quadro

Proporção da população empregada por conta de outrem com ensino superior (%)
Designação;Proporção da população empregada por conta de outrem com ensino superior (%) por Localização geográfica (NUTS - 2024) -  Anual
Periodicidade;Anual
Fonte;MTSSS/GEP, Quadros de pessoal
Primeiro período disponível;2021
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2024)
Conceitos
     TRABALHADORES POR CONTA DE OUTREM;Os trabalhadores por conta de outrem são definidos como todas as pessoas que, nos termos de um contrato, trabalham para outra unidade institucional residente, recebendo em contrapartida uma remuneração.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     ESTABELECIMENTO;Empresa ou parte de uma empresa (fábrica, oficina, mina, armazém, loja, entreposto, etc.) situada num local topograficamente identificado. Nesse local ou a partir dele exercem-se atividades económicas para as quais, regra geral, uma ou várias pessoas trabalham (eventualmente a tempo parcial), por conta de uma mesma empresa.
Definição;
Fórmula;&lt - p&gt - (N&ordm -  de trabalhadores por conta de outrem com ensino superior/ N&ordm - &nbsp -  de trabalhadores por conta de outrem)*100&lt - /p&gt - 
Unidade de Medida (símbolo);Percentagem (%)
Potência de 10;0
Data da última atualização;04-Apr-2025
