
Quadro extraído em 09 de Dezembro de 2025 (22:21:44)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Nascimentos (N.º) de empresas por Localização geográfica (NUTS - 2024) e Forma jurídica -  Anual;
;Período de referência dos dados;
;2023;
;Forma jurídica;
;Total;
;N.º ;
1D21421: Ourém;812;
1D21417: Sardoal;63;
1D21418: Tomar;554;
1D21419: Torres Novas;469;
1D21420: Vila Nova da Barquinha;98;
1D3: Lezíria do Tejo;4158;
1D31403: Almeirim;414;
1D31404: Alpiarça;132;
1D31103: Azambuja;363;
1D31405: Benavente;530;
1D31406: Cartaxo;389;
1D31407: Chamusca;148;
1D31409: Coruche;253;
1D31412: Golegã;83;
1D31414: Rio Maior;383;
1D31415: Salvaterra de Magos;307;
1D31416: Santarém;1156;
1A: Grande Lisboa;66687;
1A0: Grande Lisboa;66687;
1A01115: Amadora;5100;
1A01105: Cascais;6936;
1A01106: Lisboa;24479;
1A01107: Loures;4867;
1A01109: Mafra;2232;
1A01116: Odivelas;4837;
1A01110: Oeiras;4987;
1A01111: Sintra;10627;
1A01114: Vila Franca de Xira;2622;
1B: Península de Setúbal;20505;
1B0: Península de Setúbal;20505;
1B01502: Alcochete;415;
1B01503: Almada;5342;
1B01504: Barreiro;1779;
1B01506: Moita;1212;
1B01507: Montijo;1553;
1B01508: Palmela;1481;
1B01510: Seixal;4287;
1B01511: Sesimbra;1346;
1B01512: Setúbal;3090;
1C: Alentejo;9009;
1C1: Alentejo Litoral;2387;
1C11501: Alcácer do Sal;215;
1C11505: Grândola;418;
1C10211: Odemira;891;
1C11509: Santiago do Cacém;584;
1C11513: Sines;279;
1C2: Baixo Alentejo;2205;
1C20201: Aljustrel;95;
1C20202: Almodôvar;118;
1C20203: Alvito;54;
1C20204: Barrancos;23;
1C20205: Beja;716;
1C20206: Castro Verde;103;
1C20207: Cuba;94;
1C20208: Ferreira do Alentejo;165;
1C20209: Mértola;110;
1C20210: Moura;257;
1C20212: Ourique;85;
1C20213: Serpa;277;
1C20214: Vidigueira;108;
1C3: Alto Alentejo;1650;
1C31201: Alter do Chão;41;
1C31202: Arronches;51;
1C31203: Avis;47;
1C31204: Campo Maior;115;
1C31205: Castelo de Vide;46;
1C31206: Crato;43;
1C31207: Elvas;370;
1C31208: Fronteira;70;
1C31209: Gavião;36;
1C31210: Marvão;55;
1C31211: Monforte;36;
1C31212: Nisa;82;
1C31213: Ponte de Sor;207;
1C31214: Portalegre;371;
1C31215: Sousel;80;
1C4: Alentejo Central;2767;
1C40701: Alandroal;70;
1C40702: Arraiolos;109;
1C40703: Borba;89;
1C40704: Estremoz;180;
1C40705: Évora;1079;
1C40706: Montemor-o-Novo;305;
1C40707: Mora;73;
1C40708: Mourão;51;
1C40709: Portel;127;
1C40710: Redondo;111;
1C40711: Reguengos de Monsaraz;155;
