
Quadro extraído em 09 de Dezembro de 2025 (18:35:58)
http://www.ine.pt



Localização geográfica (NUTS - 2024) (1) ;Alunas/os inscritas/os no ensino superior (N.º) por Localização geográfica (NUTS - 2024) e Natureza institucional -  Anual (2) ;
;Período de referência dos dados;
;2023 / 2024;
;Natureza institucional;
;Total;
2004901: Corvo;- -;
2004701: Horta;- -;
2004201: Lagoa (R.A.A.);- -;
2004801: Lajes das Flores;- -;
2004601: Lajes do Pico;- -;
2004602: Madalena;- -;
2004202: Nordeste;- -;
2004203: Ponta Delgada;2500;
2004204: Povoação;- -;
2004205: Ribeira Grande;- -;
2004401: Santa Cruz da Graciosa;- -;
2004802: Santa Cruz das Flores;- -;
2004603: São Roque do Pico;- -;
2004502: Velas;- -;
2004302: Vila da Praia da Vitória;- -;
2004101: Vila do Porto;- -;
2004206: Vila Franca do Campo;- -;
3: Região Autónoma da Madeira;4161;
30: Região Autónoma da Madeira;4161;
300: Região Autónoma da Madeira;4161;
3003101: Calheta (R.A.M.);- -;
3003102: Câmara de Lobos;- -;
3003103: Funchal;4161;
3003104: Machico;- -;
3003105: Ponta do Sol;- -;
3003106: Porto Moniz;- -;
3003107: Ribeira Brava;- -;
3003108: Santa Cruz;- -;
3003109: Santana;- -;
3003110: São Vicente;- -;
3003201: Porto Santo;- -;

Alunas/os inscritas/os no ensino superior (N.º) por Localização geográfica (NUTS - 2024) e Natureza institucional -  Anual - Direção-Geral de Estatísticas da Educação e Ciência

Nota(s):
(1) A localização geográfica corresponde à localização do estabelecimento de ensino.

(2) Início do Processo de Bolonha no ano letivo de 2006/2007 (Decreto-Lei n.º 74/2006, de 24 de março).



Última atualização destes dados: 30 de setembro de 2025


Metainformação associada ao quadro

Alunas/os inscritas/os no ensino superior (N.º)
Designação;Alunas/os inscritas/os no ensino superior (N.º) por Localização geográfica (NUTS - 2024) e Natureza institucional -  Anual
Periodicidade;Anual
Fonte;Direção-Geral de Estatísticas da Educação e Ciência
Primeiro período disponível;2014 / 2015
Último período disponível;2024 / 2025
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2024)
     Dimensão 3;Natureza institucional
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     ESTABELECIMENTO DE ENSINO;Unidade organizacional que disponibiliza uma ou mais ofertas de educação e formação.
     ALUNO INSCRITO;Aluno que efetua uma inscrição em uma ou mais disciplinas ou em unidades curriculares de um curso de um estabelecimento de ensino superior num determinado ano letivo.
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Observações;Inclui os inscritos em mobilidade internacional. Inclui os inscritos em todos os cursos ministrados em estabelecimentos de ensino superior, exceto os inscritos que estejam apenas a elaborar dissertação, trabalho de projeto ou estágio final e os inscritos em especializações que não cumpram, cumulativamente, os seguintes requisitos: 60 ECTS, 300 horas letivas de contacto distribuídas por 2 semestres letivos e avaliação final.
Data da última atualização;30-Sep-2025
