
Quadro extraído em 09 de Dezembro de 2025 (22:00:05)
http://www.ine.pt



Local de residência (NUTS - 2024);Valor médio do subsídio de desemprego da segurança social (?/ N.º) por Local de residência (NUTS - 2024) e Sexo -  Anual (1) ;
;Período de referência dos dados;
;2023;
;Sexo;
;HM;
;?/ N.º ;
1D11014: Peniche;2884;
1D11112: Sobral de Monte Agraço;3832;
1D11113: Torres Vedras;3410;
1D2: Médio Tejo;3034;
1D21401: Abrantes;2997;
1D21402: Alcanena;3335;
1D21408: Constância;3386;
1D21410: Entroncamento;3055;
1D21411: Ferreira do Zêzere;2838;
1D21413: Mação;3297;
1D21421: Ourém;2885;
1D21417: Sardoal;3663;
1D21418: Tomar;3212;
1D21419: Torres Novas;2911;
1D21420: Vila Nova da Barquinha;2946;
1D3: Lezíria do Tejo;3063;
1D31403: Almeirim;2588;
1D31404: Alpiarça;2753;
1D31103: Azambuja;3309;
1D31405: Benavente;3182;
1D31406: Cartaxo;3352;
1D31407: Chamusca;2853;
1D31409: Coruche;2949;
1D31412: Golegã;3073;
1D31414: Rio Maior;3150;
1D31415: Salvaterra de Magos;2953;
1D31416: Santarém;3117;
1A: Grande Lisboa;3903;
1A0: Grande Lisboa;3903;
1A01115: Amadora;3563;
1A01105: Cascais;4352;
1A01106: Lisboa;4129;
1A01107: Loures;3793;
1A01109: Mafra;3987;
1A01116: Odivelas;3502;
1A01110: Oeiras;4532;
1A01111: Sintra;3616;
1A01114: Vila Franca de Xira;3728;
1B: Península de Setúbal;3539;
1B0: Península de Setúbal;3539;
1B01502: Alcochete;3861;
1B01503: Almada;3817;
1B01504: Barreiro;3437;
1B01506: Moita;3346;
1B01507: Montijo;3252;
1B01508: Palmela;3587;
1B01510: Seixal;3557;
1B01511: Sesimbra;3695;
1B01512: Setúbal;3416;
1C: Alentejo;2837;
1C1: Alentejo Litoral;2500;
1C11501: Alcácer do Sal;2922;
1C11505: Grândola;3005;
1C10211: Odemira;2332;
1C11509: Santiago do Cacém;3050;
1C11513: Sines;2424;
1C2: Baixo Alentejo;2994;
1C20201: Aljustrel;3419;
1C20202: Almodôvar;3236;
1C20203: Alvito;3869;
1C20204: Barrancos;3025;
1C20205: Beja;2967;
1C20206: Castro Verde;3257;
1C20207: Cuba;3147;
1C20208: Ferreira do Alentejo;2527;
1C20209: Mértola;3275;
1C20210: Moura;2814;
1C20212: Ourique;3253;
1C20213: Serpa;2947;
1C20214: Vidigueira;2718;
1C3: Alto Alentejo;3063;
1C31201: Alter do Chão;2825;
1C31202: Arronches;3713;
1C31203: Avis;2868;
1C31204: Campo Maior;3559;
1C31205: Castelo de Vide;3636;
1C31206: Crato;3312;
1C31207: Elvas;3106;
1C31208: Fronteira;3053;
1C31209: Gavião;3524;
1C31210: Marvão;3422;
1C31211: Monforte;3216;
1C31212: Nisa;2941;
1C31213: Ponte de Sor;2731;
1C31214: Portalegre;3127;
1C31215: Sousel;2541;
1C4: Alentejo Central;3045;
1C40701: Alandroal;2892;
1C40702: Arraiolos;3478;
1C40703: Borba;2696;
1C40704: Estremoz;2998;
1C40705: Évora;3206;
1C40706: Montemor-o-Novo;3260;
1C40707: Mora;2676;
1C40708: Mourão;3404;
1C40709: Portel;3003;
1C40710: Redondo;2996;
1C40711: Reguengos de Monsaraz;3029;
1C40712: Vendas Novas;2537;
1C40713: Viana do Alentejo;2872;
1C40714: Vila Viçosa;2896;
15: Algarve;2319;
150: Algarve;2319;
1500801: Albufeira;1937;
1500802: Alcoutim;2476;
1500803: Aljezur;2357;
1500804: Castro Marim;2280;
1500805: Faro;2909;
1500806: Lagoa;2221;
1500807: Lagos;2317;
1500808: Loulé;2328;
1500809: Monchique;3066;
1500810: Olhão;2839;
1500811: Portimão;2296;
1500812: São Brás de Alportel;3280;
1500813: Silves;2360;
1500814: Tavira;2440;
1500815: Vila do Bispo;2009;
1500816: Vila Real de Santo António;2351;
2: Região Autónoma dos Açores;3112;
20: Região Autónoma dos Açores;3112;
200: Região Autónoma dos Açores;3112;
2004301: Angra do Heroísmo;3177;
2004501: Calheta (R.A.A.);3186;
2004901: Corvo;2549;
2004701: Horta;2989;
2004201: Lagoa (R.A.A.);3265;
2004801: Lajes das Flores;2920;
2004601: Lajes do Pico;2733;
2004602: Madalena;3141;
2004202: Nordeste;3372;
2004203: Ponta Delgada;3227;
2004204: Povoação;3361;
2004205: Ribeira Grande;2874;
2004401: Santa Cruz da Graciosa;3174;
2004802: Santa Cruz das Flores;3145;
2004603: São Roque do Pico;3050;
2004502: Velas;3165;
2004302: Vila da Praia da Vitória;3030;
2004101: Vila do Porto;3033;
2004206: Vila Franca do Campo;2863;
3: Região Autónoma da Madeira;3165;
30: Região Autónoma da Madeira;3165;
300: Região Autónoma da Madeira;3165;
3003101: Calheta (R.A.M.);2944;
3003102: Câmara de Lobos;2905;
3003103: Funchal;3327;
3003104: Machico;3196;
3003105: Ponta do Sol;2831;
3003106: Porto Moniz;3332;
3003107: Ribeira Brava;2832;
3003108: Santa Cruz;3378;
3003109: Santana;2459;
3003110: São Vicente;2784;
3003201: Porto Santo;2577;

Valor médio do subsídio de desemprego da segurança social (?/ N.º) por Local de residência (NUTS - 2024) e Sexo -  Anual - Instituto de Informática

Nota(s):
(1) Inclui beneficiárias/os de subsídio de desemprego, subsídio social de desemprego inicial e subsequente, prolongamento de subsídio social de desemprego e medida extraordinária de apoio aos desempregados de longa duração. Os beneficiárias/os são contados tantas vezes quantas os subsídios que recebem.



Última atualização destes dados: 01 de setembro de 2025


Metainformação associada ao quadro

Valor médio do subsídio de desemprego da segurança social (?/ N.º)
Designação;Valor médio do subsídio de desemprego da segurança social (?/ N.º) por Local de residência (NUTS - 2024) e Sexo -  Anual
Periodicidade;Anual
Fonte;Instituto de Informática
Primeiro período disponível;2023
Último período disponível;2024
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2024)
     Dimensão 3;Sexo
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     SEXO;Características biológicas e fisiológicas que definem homens e mulheres.
     SUBSÍDIO DE DESEMPREGO;Prestação pecuniária concedida aos trabalhadores que reúnam, na generalidade, as seguintes condições: terem sido trabalhadores por conta de outrem, durante, pelo menos, 540 dias de trabalho com o correspondente registo de remuneração num período de 24 meses imediatamente anterior à data de desemprego; tenham capacidade e disponibilidade para o trabalho; estejam em situação de desemprego involuntário; estejam inscritos nos centros de emprego; contribuam sobre salários reais.
     BENEFICIÁRIO;Pessoa inscrita como titular do direito a proteção social no âmbito dos Regimes da Segurança Social, contributivos e não contributivos.
Definição;
Fórmula;&lt - p&gt - Valor dos subs&iacute - dios de desemprego da seguran&ccedil - a social / N&uacute - mero de benefici&aacute - rias/os&lt - /p&gt - 
Unidade de Medida (símbolo);Euro/ Número (?/ N.º)
Potência de 10;0
Observações;SEGURANÇA SOCIAL: Conjunto de sistemas e subsistemas de direito exercido nos termos estabelecidos na Constituição, nos instrumentos internacionais aplicáveis e na Lei de Bases da Segurança Social.
Data da última atualização;01-Sep-2025
